"sep=,"
"Well Crafted Wine & Beverage Co. inventory as at 2025-09-30"
" "
Warehouse,Account,"Item number","Item type",Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,"Items per case","Unit quantity",Unit,"Barrel or tank",Liters,"Unit COGS",COGS,"Pending orders (cases)","Pending orders (unit quantity)","Pending goods received (cases)","Pending goods received (unit quantity)"
Warrenton,"Well Crafted Wine & Beverage Co.",24878,Wine,"Boxwood Winery (Supplier)",Virginian,Boxwood,"Whole Ox  Rose (Private Label)",,VIR1069,2023,,,,4.00,12,48,"750 ml",,36.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24876,Wine,"Boxwood Winery (Supplier)",Virginian,Boxwood,"Whole Ox Red Wine (Private Label)",,VIR1067,2022,,,,11.00,12,132,"750 ml",,99.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23039,Wine,"Boxwood Winery (Supplier)",,Boxwood,"Wooden Box (6 packs)",,BOX1003,,,,,0.67,6,4,"1 each",,,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24076,Wine,"Ventura Selections",Spanish,"Broken Slates",Priorat,,SPA1328,2020,,,,8.58,12,103,"750 ml",,77.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29369,Wine,Aresca,Italian,Bronzino,"Fiore d Atunno Moscato dAsti",,ITA1156,2024,Still,White,,182.92,12,2195,"750 ml",,"1,646.25",0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14567,Wine,Cordier,French,"Cafe de Paris","Brut Blanc",,FRA1047,NV,Sparkling,White,,77.58,12,931,"750 ml",,698.25,0,0,-13.00,-156,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14568,Wine,Cordier,French,"Cafe de Paris","Brut Rose",,FRA1048,,Sparkling,Rose,,11.50,12,138,"750 ml",,103.50,0,0,-2.00,-24,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",21731,Wine,Cordier,French,"Cafe de Paris",Organic,,FRA1126,NV,,,,3.83,12,46,"750 ml",,34.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24265,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Gran Chardonnay",,CHL1022,2020,Still,White,,13.83,6,83,"750 ml",,62.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25796,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Gran Reserva Cabernet Sauvignon",,CHL1010,2019,,,,34.33,6,206,"750 ml",,154.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15615,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Gran Reserva Pinot Noir",,CHL1011,2017,Still,Red,,5.67,6,34,"750 ml",,25.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",21073,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Gran Reserva Pinot Noir",,CHL1011,2019,Still,Red,,10.00,6,60,"750 ml",,45.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25797,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Gran Reserva Pinot Noir",,CHL1011,2020,Still,Red,,20.00,6,120,"750 ml",,90.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15614,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,Inedito,,CHL1009,2016,,Red,,5.00,6,30,"750 ml",,22.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24266,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,Inedito,,CHL1009,2020,,Red,,16.33,6,98,"750 ml",,73.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25798,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,Marginado,,CHL1024,2021,Still,Red,Syrah,51.67,6,310,"750 ml",,232.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24640,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Mosaiko Cabernet Sauvignon",,CHL1016,2021,Still,Red,"Cabernet Sauvignon",0.50,6,3,"750 ml",,2.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25794,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Mosaiko Cabernet Sauvignon",,CHL1016,2023,Still,Red,"Cabernet Sauvignon",420.00,6,2520,"750 ml",,"1,890.00",0,0,-6.00,-36,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30312,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Mosaiko Pinot Noir",,CHL1023,2024,Still,Red,,224.17,6,1345,"750 ml",,"1,008.75",0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",21074,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Mosaiko Sauvignon Blanc",,CHL1018,2022,,,,0.67,6,4,"750 ml",,3.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25795,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Mosaiko Sauvignon Blanc",,CHL1018,2024,,,,266.83,6,1601,"750 ml",,"1,200.75",0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15600,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Petit Inedito",,CHL1017,2018,Still,Red,"Cabernet Sauvignon, Syrah, Merlot",1.00,6,6,"750 ml",,4.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24642,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Vivendo Assemblage Blend",,CHL1019,2021,,,,79.17,6,475,"750 ml",,356.25,0,0,-2.00,-12,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30313,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Vivendo Assemblage Blend",,CHL1019,2023,,,,60.00,6,360,"750 ml",,270.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",22632,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Vivendo Cabernet Sauvignon",,CHL1020,2019,,,,7.00,6,42,"750 ml",,31.50,0,0,-1.00,-6,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24264,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Zahir Cabernet Sauvignon",,CHL1008,2015,,Red,,12.00,6,72,"750 ml",,54.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30314,Wine,"Calyptra (Agricola Porta Fino)",Chilean,Calyptra,"Zahir Cabernet Sauvignon",,CHL1008,2016,,Red,,20.00,6,120,"750 ml",,90.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14530,Wine,"Gnekow Family Winery",Californian,"Campus Oaks","Almond Sparkling",,CAL1223,,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14533,Wine,"Gnekow Family Winery",Californian,"Campus Oaks","Cabernet Sauvignon",,CAL1222,2018,Still,Red,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14532,Wine,"Gnekow Family Winery",Californian,"Campus Oaks","Old Vine Zinfandel",,CAL1220,2016,Still,Red,,0.33,12,4,"750 ml",,3.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14531,Wine,"Gnekow Family Winery",Californian,"Campus Oaks","White Zinfandel",,CAL1219,2018,Still,Rose,,1.42,12,17,"750 ml",,12.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24701,Wine,"Red Garden Imports",Italian,"Cantina Castellini","Fior Toscano White",,ITA1147,2022,,,,2.00,12,24,"750 ml",,18.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29327,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi",Grechetto,,ITA1155,2024,Still,White,Grechetto,23.08,12,277,"750 ml",,207.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28347,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi","Montefalco Rosso",,ITA1144,2021,,,,2.00,6,12,"750 ml",,9.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24885,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi","Montefalco Rosso",,ITA1144,2022,,,,62.00,6,372,"750 ml",,279.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24884,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi",Sacrantino,,ITA1143,2019,,,Sagrantino,13.92,12,167,"750 ml",,125.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24883,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi","Sagrantino di Montefalco",,ITA1142,2019,,,Sagrantino,8.25,12,99,"750 ml",,74.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",27569,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi","Sagrantino di Montefalco",,ITA1142,2020,,,Sagrantino,10.00,12,120,"750 ml",,90.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24886,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi",Spoletino,,ITA1145,2022,,,Trebbiano,2.25,12,27,"750 ml",,20.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29321,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi",Spoletino,,ITA1145,2023,,,Trebbiano,1.83,12,22,"750 ml",,16.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29260,Wine,"Cantina Fratelli Pardi",Italian,"Cantina Fratelli Pardi","Spoleto Trebbiano Spoletino",,ITA1157,,Still,White,Trebbiano,6.67,12,80,"750 ml",,60.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23795,Wine,Villevert,French,"Carlin Pinson","Sancerre Blanc",,FRA1148,2023,Still,White,,6.42,12,77,"750 ml",,57.75,0,0,-3.00,-36,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29452,Wine,Villevert,French,"Carlin Pinson","Sancerre Blanc",,FRA1148,2024,Still,White,,56.00,12,672,"750 ml",,504.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",19549,Wine,"Casa Dumetz",Californian,"Casa Dumetz Clementine Carter","Mourvedre Santa Barbara County",,CAL1095,2021,,,,0.58,12,7,"750 ml",,5.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28916,Wine,"Casa Dumetz",Californian,"Casa Dumetz Clementine Carter","Mourvedre Santa Rita Hills",,CAL1095,2023,,,,3.25,12,39,"750 ml",,29.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20503,Wine,"Casa Dumetz",Californian,"Casa Dumetz Clementine Carter",Roussanne,,CAL1274,2022,,,,1.75,12,21,"750 ml",,15.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24512,Wine,"Casa Dumetz",Californian,"Casa Dumetz Clementine Carter",Roussanne,,CAL1274,2023,,,,11.00,12,132,"750 ml",,99.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20502,Wine,"Casa Dumetz",Californian,"Casa Dumetz","Clementine Carter Grenache Blanc",,CAL1112,2022,,,,0.25,12,3,"750 ml",,2.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28917,Wine,"Casa Dumetz",Californian,"Casa Dumetz","Clementine Carter Grenache Blanc",,CAL1112,2024,,,,14.58,12,175,"750 ml",,131.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15742,Wine,"Casa Dumetz",Californian,"Casa Dumetz","Clementine Carter Portico Grenache",,CAL1260,2020,Still,Red,Garnacha,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28914,Wine,"Casa Dumetz",Californian,"Casa Dumetz","Clementine Carter Santa Rita Hills Grenache",,CAL1116,2023,,,,7.08,12,85,"750 ml",,63.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23762,Wine,"Casa Dumetz",Californian,"Casa Dumetz","Feminist Party GSM",,CAL1105,2022,Still,Red,,21.33,12,256,"750 ml",,192.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",17727,Wine,"Casa Dumetz",Californian,"Casa Dumetz","Sonja & Greg's Cider Factory Lover's Lane",,CAL1278,NV,,,,2.67,12,32,"750 ml",,24.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25651,Wine,"Douro Vino Selections",,,"Casal da Coelheira Terracos do Tejo",,POR1032,2021,,,,58.25,12,699,"750 ml",,524.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25646,Wine,"Douro Vino Selections",Portuguese,"Casal da Coelheira",Mythos,,POR1031,2021,Still,Red,,100.33,6,602,"750 ml",,451.50,0,0,-0.33,-2,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20764,Wine,Tapwines.com,"Z- Samples",Casanova,"Vermintino Keg Sample",SAMPLE,SAMPLE,2022,,,,0.58,12,7,"750 ml",,5.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",27338,Wine,"Castoro Cellars",Californian,"Castoro Cellars","Cabernet Sauvignon",,CAL1241,2022,Still,Red,"Cabernet Sauvignon",14.50,12,174,"750 ml",,130.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20497,Wine,"Castoro Cellars",Californian,"Castoro Cellars","Cabernet Sauvignon 375 ml",,CAL1246,2021,Still,Red,"Cabernet Sauvignon, Malbec, Syrah",9.58,12,115,"375 ml",,43.13,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20498,Wine,"Castoro Cellars",Californian,"Castoro Cellars","Cabernet Sauvignon 375ml",,CAL1246,2020,Still,Red,"Cabernet Sauvignon, Malbec, Syrah",11.67,12,140,"375 ml",,52.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23069,Wine,"Castoro Cellars",Californian,"Castoro Cellars",Chardonnay,,CAL1242,2022,Still,White,Chardonnay,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28623,Wine,"Castoro Cellars",Californian,"Castoro Cellars",Chardonnay,,CAL1242,2024,Still,White,Chardonnay,13.25,12,159,"750 ml",,119.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30361,Wine,"Castoro Cellars",Californian,"Castoro Cellars","Chardonnay Keg",,CAL1389,2024,Still,White,,8.00,1,8,"20 l",,160.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20738,Wine,"Castoro Cellars",Californian,"Castoro Cellars",Merlot,,CAL1243,2021,Still,,Merlot,3.17,12,38,"750 ml",,28.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30020,Wine,"Castoro Cellars",Californian,"Castoro Cellars",Merlot,,CAL1243,2022,Still,,Merlot,1.75,12,21,"750 ml",,15.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20734,Wine,"Castoro Cellars",Californian,"Castoro Cellars","Red Wine Can",,CAL1320,,,,,6.04,24,145,"250 ml",,36.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30019,Wine,"Castoro Cellars",Californian,"Castoro Cellars","Sauvignon Blanc",,CAL1387,2023,,White,,10.00,12,120,"750 ml",,90.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20736,Wine,"Castoro Cellars",Californian,"Castoro Cellars","Sparkling Rose Wine Can",,CAL1322,,,,,5.67,24,136,"250 ml",,34.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20735,Wine,"Castoro Cellars",Californian,"Castoro Cellars","White Wine Can",,CAL1321,,,,,9.58,24,230,"250 ml",,57.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20740,Wine,"Castoro Cellars",Californian,"Castoro Cellars",Zinfandel,,CAL1244,2021,Still,Red,"Zinfandel, Petite Sirah",30.67,12,368,"750 ml",,276.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23530,Wine,"Castoro Cellars",Californian,"Castoro Cellars",Zinfusion,,CAL1245,2021,Still,Red,"Zinfandel, Petite Sirah",10.00,12,120,"750 ml",,90.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23193,Wine,"Castoro Cellars",Californian,Castoro,"Keg Handles",,,,,,,12.00,1,12,"1 each",,,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",437,Wine,"Alella Vinicola",Spanish,Cava,"Marfil Brut Cava",,SPA1005,NV,Sparkling,White,"Xarel-lo, Macabeo, Parellada",733.00,12,8796,"750 ml",,"6,597.00",0,0,-16.00,-192,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15542,Wine,,Chilean,"Central Valley Banner Day","Cabernet Sauvignon",,CHL1005,2019,,,,9.00,12,108,"750 ml",,81.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28605,Wine,,Chilean,"Central Valley Banner Day","Cabernet Sauvignon",,CHL1005,2023,,,,70.00,12,840,"750 ml",,630.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",19242,Wine,,Chilean,"Central Valley Banner Day","Sauvignon Blanc",,CHL1004,2022,Still,White,,26.25,12,315,"750 ml",,236.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28606,Wine,,Chilean,"Central Valley Banner Day","Sauvignon Blanc",,CHL1004,2024,Still,White,,50.00,12,600,"750 ml",,450.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15068,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette","Carte Blanche (375ml)",,FRA1050,NV,Sparkling,White,,16.08,12,193,"375 ml",,72.38,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15067,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette","Cuvee Jouette Extra Brut",,FRA1049,NV,Sparkling,White,"Chardonnay, Pinot Noir, Pinot Meunier",0.17,6,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20130,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette","Cuvee Jouette Extra Brut Milliseme",,FRA1049,2015,Sparkling,White,"Chardonnay, Pinot Noir, Pinot Meunier",10.33,6,62,"750 ml",,46.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25692,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette","Cuvee Jouette Extra Brut Milliseme",,FRA1049,2016,Sparkling,White,"Chardonnay, Pinot Noir, Pinot Meunier",26.00,6,156,"750 ml",,117.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24219,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette","Cuvee Jouette Magnum",,FRA1166,2005,,,,3.00,1,3,"1500 ml",,4.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14611,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette","Cuvee Jouette Millesime",,FRA1021,2014,Sparkling,,,1.00,6,6,"750 ml",,4.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25693,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette","Grande Reserve Magnum",,FRA1175,,,,,2.67,3,8,"1500 ml",,12.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",8741,Wine,"Bauget Jouette",French,"Champagne Bauget-Jouette",Rose,,FRA1023,NV,Sparkling,Rose,"Chardonnay, Pinot Noir",22.50,6,135,"750 ml",,101.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25490,Wine,"Bauget Jouette",French,Champagne,"Bauget-Jouette Blanc de Blancs",,FRA1022,2016,Sparkling,White,,21.17,6,127,"750 ml",,95.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",4480,Wine,"Bauget Jouette",French,Champagne,"Bauget-Jouette Carte Blanche (750ml)",,FRA1020,NV,Sparkling,White,,107.00,6,642,"750 ml",,481.50,0,0,-1.00,-6,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",18207,Wine,"Charlie & Echo","Z- Samples","Charlie  and Echo","Two Tons",,SAMPLE,2021,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",18208,Wine,"Charlie & Echo","Z- Samples","Charlie  and Echo","Woah Jake",,SAMPLE,2021,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",15769,Wine,"Charlie & Echo",Californian,"Charlie & Echo",Rainfall,,CAL1262,,,White,,0.92,12,11,"750 ml",,8.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",17068,Wine,,"Z- Samples","Chateau de cor bugeaud",Bordeaux,,,2019,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16850,Wine,,"Z- Samples","Chateau De Jonquieres",Languedoc,,SAMPLE,2020,,,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16854,Wine,,"Z- Samples","Chateau De Lussac","Saint Emilion",,SAMPLE,2018,,,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16853,Wine,,"Z- Samples","Chateau Franc Maillet",Pomerol,,SAMPLE,2016,,,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",19195,Wine,"Chateau Haut Maco",French,"Chateau Haut Maco","Jean Bernard",,FRA1006,2018,,,,15.75,12,189,"750 ml",,141.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",11607,Wine,"Chateau Haut Maco",French,"Chateau Haut Maco","Les Bascauts",,FRA1009,2016,,,,0.83,12,10,"750 ml",,7.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",19194,Wine,"Chateau Haut Maco",French,"Chateau Haut Maco","Les Bascauts",,FRA1009,2018,,,,11.25,12,135,"750 ml",,101.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25686,Wine,"Chateau Haut Maco",French,"Chateau Haut Maco","Les Bascauts",,FRA1009,2019,,,,20.00,12,240,"750 ml",,180.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25521,Wine,"Jeff Welburn Selections",French,"Chateau Haut Peyrillat","Bordeaux Left Bank",,FRA1180,2020,Still,Red,"Merlot, Cabernet Sauvignon",4.50,12,54,"750 ml",,40.50,0,0,-0.08,-1,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",17076,Wine,,"Z- Samples","Chateau Josephine","Cabernet Sauvignon",,,2018,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24773,Wine,"Red Garden Imports",Spanish,"Chateau Josephine","Cabernet Sauvignon  Mevushal (MD & DC)",,SPA1317,2023,,,,9.50,12,114,"750 ml",,85.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",27688,Wine,"Red Garden Imports",Spanish,"Chateau Josephine","Chardonnay Macabeo Blend Mevushal (MD & DC)",,SPA1352,2024,,,,2.67,12,32,"750 ml",,24.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30336,Wine,"Red Garden Imports",Spanish,"Chateau Josephine","Garnacha  Mevushal (MD & DC)",,SPA1319,2020,,,,1.00,12,12,"750 ml",,9.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",30371,Wine,"Red Garden Imports",Spanish,"Chateau Josephine","Garnacha  Mevushal (MD & DC) Stained Labels",,SPA1319,2020,,,,0.50,12,6,"750 ml",,4.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23862,Wine,"Red Garden Imports",Spanish,"Chateau Josephine","Merlot  Mevushal (MD & DC)",,SPA1318,2023,,,,3.75,12,45,"750 ml",,33.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",17074,Wine,,"Z- Samples","Chateau Josephine",Mourvedre,,,2019,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23864,Wine,"Red Garden Imports",Spanish,"Chateau Josephine","Mourvedre  Mevushal (MD & DC)",,SPA1320,2023,,,,2.00,12,24,"750 ml",,18.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",27689,Wine,"Red Garden Imports",Spanish,"Chateau Josephine","Tempranillo Mevushal (MD & DC)",,SPA1353,2023,Still,Red,,4.00,12,48,"750 ml",,36.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16851,Wine,,"Z- Samples","Chateau Jupille Carillon","Saint Emilion",,SAMPLE,2015,,,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16852,Wine,,"Z- Samples","Chateau Jupille Carillon","Saint Emilion",,SAMPLE,2016,,,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25762,Wine,"Jeff Welburn Selections",French,"Chateau Lapinesse",Sauternes,,FRA1184,2022,,,,0.50,12,6,"375 ml",,2.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25522,Wine,"Jeff Welburn Selections",French,"Chateau Les Grands Sillons",Pomerol,,FRA1183,2018,Still,Red,"Merlot, Cabernet Sauvignon",2.83,12,34,"750 ml",,25.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24749,Wine,Cordier,French,"Chateau Maris",Brama,,FRA1040,2018,Still,White,"Grenache Gris",2.33,12,28,"750 ml",,21.00,0,0,0.00,0,0.00,0
