"sep=,"
"Well Crafted Wine & Beverage Co. inventory as at 2025-09-30"
" "
Warehouse,Account,"Item number","Item type",Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,"Items per case","Unit quantity",Unit,"Barrel or tank",Liters,"Unit COGS",COGS,"Pending orders (cases)","Pending orders (unit quantity)","Pending goods received (cases)","Pending goods received (unit quantity)"
Warrenton,"Well Crafted Wine & Beverage Co.",30406,Wine,Alfaro,Californian,"Alfaro Family Vineyards","Trout  Gulch Chardonnay",,CAL1128,2023,Still,White,,4.00,12,48,"750 ml",,36.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29131,Wine,Alfaro,Californian,"Alfaro Family Vineyards","Trout Gulch Pinot Noir",,CAL1012,2023,Still,Red,,4.00,12,48,"750 ml",,36.00,0,0,-0.08,-1,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24083,Wine,"Ventura Selections",Italian,Angoris,Schioppettino,,ITA1139,2020,Still,Red,Schioppettino,2.08,12,25,"750 ml",,18.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24084,Wine,"Ventura Selections",Italian,Angoris,"Villa Locatelli Cabernet Franc",,ITA1140,2022,Still,Red,"Cabernet Franc",6.42,12,77,"750 ml",,57.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24082,Wine,"Ventura Selections",Italian,Angoris,"Villa Locatelli Pinot Grigio",,ITA1138,2021,Still,White,"Pinot Grigio",3.42,12,41,"750 ml",,30.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25314,Wine,"Vino del Sol",Argentine,Anko,"Cabernet Sauvignon Flor de Cardon",,ARG1067,2019,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29150,Wine,"Vino del Sol",Argentine,Anko,"Cabernet Sauvignon Flor de Cardon",,ARG1067,2022,,,,26.33,12,316,"750 ml",,237.00,0,0,-1.00,-12,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25313,Wine,"Vino del Sol",Argentine,Anko,Malbec,,ARG1065,2022,,,,10.17,12,122,"750 ml",,91.50,0,0,-2.00,-24,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28911,Wine,"Vino del Sol",Argentine,Anko,Malbec,,ARG1065,2023,,,,7.92,12,95,"750 ml",,71.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28910,Wine,"Vino del Sol",Argentine,Anko,"Malbec Flor de Cardon",,ARG1073,2022,,,,9.58,12,115,"750 ml",,86.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",25311,Wine,"Vino del Sol",Argentine,Anko,Torrontes,,ARG1064,2023,,,,3.92,12,47,"750 ml",,35.25,0,0,-1.00,-12,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",21577,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Pinot Grigio",,ITA1001,2022,Still,White,,0.67,12,8,"750 ml",,6.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28565,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Pinot Grigio (screwcap)",,ITA1001,2024,Still,White,,184.75,12,2217,"750 ml",,"1,662.75",0,0,-3.00,-36,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28729,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Prosecco Brut",,ITA1066,2024,Sparkling,White,,2.50,12,30,"750 ml",,22.50,0,0,-2.50,-30,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",1978,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Prosecco Extra Dry",,ITA1003,2021,,,,-2.08,12,-25,"750 ml",,-18.75,0,-0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24066,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Prosecco Extra Dry",,ITA1003,2023,,,,0.92,12,11,"750 ml",,8.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29318,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Prosecco Extra Dry",,ITA1003,2024,,,,140.33,12,1684,"750 ml",,"1,263.00",0,0,-0.08,-1,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28566,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Prosecco Rosato",,ITA1002,2024,Sparkling,Rose,,301.67,12,3620,"750 ml",,"2,715.00",0,0,-4.08,-49,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16930,Wine,"Antonio Facchin",Italian,"Antonio Facchin","Prosecco Treviso Screwcap",,ITA1067,NV,,,,131.50,12,1578,"750 ml",,"1,183.50",0,0,-1.00,-12,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",29165,Wine,"Sugar Loaf Wines","New Zealand","Apple Tree Lane","Sauvignon Blanc",,NWZ1026,2024,,,,329.67,12,3956,"750 ml",,"2,967.00",0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28498,Wine,"Aratas Winery",Californian,Aratas,"Los Carneros Chardonnay",,CAL1061,2024,Still,White,Chardonnay,3.17,12,38,"750 ml",,28.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",1472,Wine,"Well Crafted Wine & Beverage Co.",Californian,Aratas,"Napa Valley Petite Sirah",,CAL1062,2010,Still,Red,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20140,Wine,"Aratas Winery",Californian,Aratas,"Napa Valley Petite Sirah",,CAL1062,2018,Still,Red,"Petite Sirah",1.75,12,21,"750 ml",,15.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23610,Wine,"Aratas Winery",Californian,Aratas,"Napa Valley Petite Sirah",,CAL1062,2019,Still,Red,"Petite Sirah",3.00,12,36,"750 ml",,27.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20139,Wine,"Aratas Winery",Californian,Aratas,"Sauvignon Blanc",,CAL1297,2021,,White,,-0.08,12,-1,"750 ml",,-0.75,0,-0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24165,Wine,"Aratas Winery",Californian,Aratas,"Sauvignon Blanc",,CAL1297,2023,,White,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",28499,Wine,"Aratas Winery",Californian,Aratas,"Sauvignon Blanc",,CAL1297,2024,,White,,2.00,12,24,"750 ml",,18.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",24166,Wine,"Aratas Winery",Californian,Aratas,"Surreptitious Rose",,CAL1298,2023,,,,-0.08,12,-1,"750 ml",,-0.75,0,-0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",1496,Wine,"Well Crafted Wine & Beverage Co.",Californian,Aratas,"Veneration Red Blend",,CAL1064,2012,Still,Red,,0.17,12,2,"750 ml",,1.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20136,Wine,"Aratas Winery",Californian,Aratas,"Veneration Red Blend",,CAL1064,2019,Still,Red,,0.33,12,4,"750 ml",,3.00,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",21999,Wine,"Aratas Winery",Californian,Aratas,"Veneration Red Blend",,CAL1064,2021,Still,Red,,3.25,12,39,"750 ml",,29.25,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",19149,Wine,Aresca,Italian,Aresca,Cortese,,ITA1077,2021,,,,1.08,12,13,"750 ml",,9.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",20428,Wine,Aresca,Italian,Aresca,Cortese,,ITA1077,2022,,,,6.17,12,74,"750 ml",,55.50,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",14995,Wine,Aresca,Italian,Aresca,"Fiore d Atunno Moscato dAsti",,ITA1035,2020,Still,White,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",23147,Wine,Aresca,Italian,Aresca,"Fiore d Atunno Moscato dAsti",,ITA1035,2023,Still,White,,6.83,12,82,"750 ml",,61.50,0,0,-1.00,-12,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",17075,Wine,,"Z- Samples",Armonia,Moscato,,,NV,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16857,Wine,,"Z- Samples","Armstrong Family WInery","Bogies Blend",,SAMPLE,2017,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",16855,Wine,,"Z- Samples","Armstrong Family Winery","Cabernet Sauvignon",,SAMPLE,2017,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
Warrenton,"Well Crafted Wine & Beverage Co.",18210,Wine,,"Z- Samples","Armstrong Family Winery","Ebby James (Syrah)",,SAMPLE,2020,,,,0.08,12,1,"750 ml",,0.75,0,0,0.00,0,0.00,0
