Origin,Region,Supplier,Item,Unit,SKU,Frontline WCB Price,Discount WCB Price,BTG- On Premise Only,Special Pricing 1,Terms,,,Female Owned,,,,
Australia,Barossa,Legend: Reed,"Reed ""Knife Edge"" Syrah",0.750,AUS1011,$26.67,25.33,,,,,,Female Owned/Winemaker,,,,
Australia,Mornington Peninsula (Victoria),Legend: Reed,R&R Pinot Gris,0.750,AUS1015,$23.99,,,,,,,Female Owned/Winemaker,,,,
Australia,Tasmania,Legend: Sailor Seeks Horse,Sailor Seeks Horse Pinot Noir,0.750,AUS1045,$48.00,,,,,,,,,,,
Australia,Barossa,Legend: Seppeltsfield,Seppeltsfield Cabernet Sauvignon,0.75,AUS1029,$17.66,,,,,,,,,,,
Australia,Barossa,Legend: Seppeltsfield,Seppeltsfield Grenache,0.750,AUS1021,$15.33,14.67,,$12.60,2 cases total within the Seppeltsfield family,,,,,,,
Australia,Barossa,Legend: Seppeltsfield,Seppeltsfield Riesling,0.750,AUS1019,$15.33,14.67,,$12.60,2 cases total within the Seppeltsfield family,,,,,,,
Australia,Barossa,Legend: Seppeltsfield,Seppeltsfield Shiraz,0.750,AUS1020,$15.33,14.67,,$12.60,2 cases total within the Seppeltsfield family,,,,,,,
Australia,Barossa,Legend: Seppeltsfield,Seppeltsfield Tawny 10Y,0.750,AUS1022,$29.99,,,,,,,,,,,
Australia,Southeast Australia*,Legend: Sunspell,Sunspell Cabernet Sauvignon,0.750,AUS1012,$11.99,11.49,10.67,9.99,3+ cases or when added to a Seppeltsfield family deal,,,,,,,x
Australia,Victoria,Legend: Syrahmi,Syrahmi Angus Shiraz,0.750,AUS1040,$53.33,,,,,,,,,,,
Australia,Victoria,Legend: William Downie,William Downie Cathedral Pinot Noir,0.750,AUS1013,$24.00,23.33,,,,,,,,,,
Austria,Niederosterreich,Weinrieder,Weinrieder Gruner Veltliner Klassik,0.750,AUT1001,$14.67,,,,,,,,,,,
Austria,Niederosterreich,Weinrieder,Weinrieder Ried Schniederberg,0.750,AUT1003,$18.66,,,,,,,,,,,
Austria,Niederosterreich,Weinrieder,Weinrieder Riesling Ried Bockgarten,0.750,AUT1005,$19.99,,,,,,,,,,,
Austria,Niederosterreich,Weinrieder,Weinrieder Riesling Ried Kugler,0.750,AUT1002,$26.67,,,,,,,,,,,
Austria,Niederosterreich,Weinrieder,Weinrieder Riesling Ried Kugler 1.5L,1.500,AUT1006,$60.00,,,,,,,,,,,
Austria,Niederosterreich,Weinrieder,Weinrieder Weissburgunder,0.750,AUT1004,$18.66,,,,,,,,,,,
California,Santa Cruz Mountains,Alfaro Family Vineyards,"Alfaro Family Vineyards ""A"" Estate Chardonnay",0.750,CAL1004,$16.66,$15.99,$14.00,$14.00,3+ cases,,,,,,,
California,Santa Cruz Mountains,Alfaro Family Vineyards,"Alfaro Family Vineyards ""A"" Estate Pinot Noir",0.750,CAL1006,$17.66,$16.66,$15.50,$15.50,3+ cases,,,,,,,
California,Santa Cruz Mountains,Alfaro Family Vineyards,"Alfaro Family Vineyards ""A"" Estate Syrah",0.750,CAL1005,$16.66,$15.99,$14.00,$14.00,3+ cases,,,,,,,
California,Santa Cruz Mountains,Alfaro Family Vineyards,Alfaro Family Vineyards Dragon Slayer,0.750,CAL1003,$13.33,$12.99,$12.50,$12.00,5+ cases,,,,,,,
California,Santa Cruz Mountains,Alfaro Family Vineyards,Alfaro Family Vineyards Trout Gulch Chardonnay,0.750,CAL1128,$23.33,,,,,,,,,,,
California,Santa Cruz Mountains,Alfaro Family Vineyards,Alfaro Family Vineyards Trout Gulch Pinot Noir,0.750,CAL1012,$29.99,,,,,,,,,,,
California,Napa Valley (North Coast),Aratas Winery,Aratas Napa Valley Chardonnay,0.750,CAL1061,$36.67,,,,,,,,,,,
California,Napa Valley (North Coast),Aratas Winery,Aratas Napa Valley Petite Sirah,0.750,CAL1062,$43.33,,,,,,,,,,,
California,Napa Valley (North Coast),Aratas Winery,Aratas Rose,0.750,CAL1298,$32.00,,$18.50,,,,,,,,,
California,Napa Valley (North Coast),Aratas Winery,Aratas Sauvignon Blanc,0.750,CAL1297,$32.00,,$18.50,,,,,,,,,
California,Napa Valley (North Coast),Aratas Winery,Aratas Shake Ridge Petite Syrah,0.750,CAL1063,$43.33,,$20.00,,,,,,,,,
California,Napa Valley (North Coast),Aratas Winery,Aratas Veneration Red Blend,0.750,CAL1064,$45.33,,,,,,,,,,,
California,Napa Valley (North Coast),Burly Wines,Napa Valley Burly Cabernet Sauvignon (Sciandri),0.750,CAL1189,$66.67,,,,,,,,,,x,
California,Napa Valley (North Coast),Burly Wines,Napa Valley Burly Cabernet Sauvignon (Simpkins),0.750,CAL1048,$66.67,,,,,,,,,,x,
California,Napa Valley (North Coast),Burly Wines,Napa Valley Burly Cabernet Sauvignon 1.5L (Magnum),1.500,CAL1050,$140.00,,,,,,,,,,x,
California,Napa Valley (North Coast),Burly Wines,Napa Valley Burly Cabernet Sauvignon Special Selection,0.750,CAL1049,$115.00,,,,,,,,,,x,
California,Napa Valley (North Coast),Burly Wines,Napa Valley Burly Chardonnay ,0.750,CAL1047,$32.00,,$28.00,,,,,,,,x,
California,Paso Robles ,Castoro Cellars,"Castoro ""Zinfusion""",0.750,CAL1245,$16.67,15.99,$15.33,$15.33,"2+ cases solid, 3 cases family; or 5 cases with Raywood",$14.66,3 cases solid,Certified Organic,,,x,
California,Paso Robles ,Castoro Cellars,Castoro Cabernet Sauvignon,0.750,CAL1241,$14.66,13.99,$13.00,$13.33,"2+ cases solid, 3 cases family; or 5 cases with Raywood",$12.66,3 cases solid,Certified Organic,,,x,
California,Paso Robles ,Castoro Cellars,Castoro Cabernet Sauvignon 375ml,0.375,CAL1246,$6.67,6.33,,,,,,Certified Organic,,,,
California,Paso Robles ,Castoro Cellars,Castoro Cellars Red Wine CANS 24 per case = 6 x 4 packs,0.250,CAL1320,$4.66,,,,,,,Certified Organic,,,,
California,Paso Robles ,Castoro Cellars,Castoro Cellars Sparkling Rose Wine CANS 24 per case = 6 x 4 packs,0.250,CAL1322,$4.66,,,,,,,Certified Organic,,,,
California,Paso Robles ,Castoro Cellars,Castoro Cellars White Wine CANS 24 per case = 6 x 4 packs,0.250,CAL1321,$4.66,,,,,,,Certified Organic,,,,
California,Paso Robles ,Castoro Cellars,Castoro Chardonnay,0.750,CAL1242,$13.33,12.66,$12.00,$12.00,"2+ cases solid, 3 cases family; or 5 cases with Raywood",,,Certified Organic,"92 Points (Wine Enthusiast) 2022 ""Best Buy""",,,
California,Paso Robles ,Castoro Cellars,Castoro Merlot,0.750,CAL1243,$14.66,13.99,$13.00,$13.33,"2+ cases solid, 3 cases family; or 5 cases with Raywood",$12.66,3 cases solid,Certified Organic,90 Points (Wine Enthsiast) 2020,,x,
California,Paso Robles ,Castoro Cellars,Castoro Merlot 375 ml,0.375,CAL1247,$6.67,6.33,,,,,,Certified Organic,,,,
