Origin,Region,Supplier,Item,Unit,SKU,Frontline WCB Price,Discount WCB Price,BTG- On Premise Only,Special Pricing 1,Terms,,,Female Owned,,,,
California,Sonoma Coast,Oleandri,Oleandri Sonoma Coast Chardonnay,0.750,CAL1361,$46.67,,,$43.33,24 bottles Oleandri Family,,,,,,,
California,Napa Valley (Spring Mountain),Paloma Vineyard,Paloma Merlot,0.750,CAL1261,$58.00,,,,,,,,,,,
California,Napa Valley (Spring Mountain),Paloma Vineyard,Paloma Cabernet Sauvignon,0.750,CAL1381,$69.00,,,,,,,,,,,
California,Paso Robles ,Pomar Junction,Pomar Junction Cab Forward,0.750,CAL1310,$43.33,,,$33.33,Case 1,$26.67,3 cases- $23.33,,,5+ cases,,
California,Paso Robles ,Pomar Junction,Pomar Junction Cabernet Sauvignon Reserve,0.750,CAL1044,$29.99,,,$26.67,Case 1,$23.33,2 cases- $19.99,,,5+ cases ($17.99 on 10+ cases),,
California,Paso Robles ,Pomar Junction,Pomar Picnic Chardonnay,0.750,CAL1030,$11.33,$10.67,$9.99,,,,,,,,,
California,Paso Robles ,Pomar Junction,Sidetrack Red,0.750,CAL1119,$23.33,,,$18.33,Case 1,16.67 (2 cases),5 cases -$13.33,,,5+ cases ($11.33 on 10+ cases),,
California,Central Coast,Cienega Valley,Cienega Valley Sauvignon Blanc,0.750,CAL1382,$8.00,$7.66,,,,,,,,,,
California,Central Coast,Cienega Valley,Cienega Valley Chardonnay,0.750,CAL1383,$8.00,$7.66,,,,,,,,,,
California,Central Coast,Cienega Valley,Cienega Valley Pinot Noir,0.750,CAL1384,$8.00,$7.66,,,,,,,,,,
California,Central Coast,Cienega Valley,Cienega Valley Cabernet Sauvignon,0.750,CAL1385,$8.00,$7.66,,,,,,,,,,
California,Central Coast,Raywood,KeyKeg Coupler,N/A,,$85.00,,,,,,,,,,,
California,Central Coast,Raywood,Raywood 20 L Keg Cabernet Sauvignon,20.000,CAL1270,$169.00,,,$156.00,2 Keg Varietals Per Delivery,,,,,,,
California,Central Coast,Raywood,Raywood 20 L Keg Chardonnay,20.000,CAL1269,$169.00,,,$156.00,2 Keg Varietals Per Delivery,,,,,,,
California,Central Coast,Raywood,Raywood 20 L Keg Merlot,20.000,CAL1271,$169.00,,,$156.00,2 Keg Varietals Per Delivery,,,,,,,
California,Central Coast,Raywood,Raywood 20 L Keg Sauvignon Blanc,20.000,CAL1270,$169.00,,,$156.00,2 Keg Varietals Per Delivery,,,,,,,
California,Central Coast,Raywood,Raywood Cabernet Sauvignon,0.750,CAL1235,$7.33,$6.67,$6.67,$6.15,4 Cases Raywood Family,,,,,,x,x
California,Central Coast,Raywood,Raywood Chardonnay,0.750,CAL1240,$7.33,$6.67,$6.67,$6.15,4 Cases Raywood Family,,,,,,x,x
California,Central Coast,Raywood,Raywood Merlot ,0.750,CAL1234,$7.33,$6.67,$6.67,$6.15,4 Cases Raywood Family,,,,,,x,x
California,Central Coast,Raywood,Raywood Moscato,0.750,CAL1239,$7.33,$6.67,$6.67,$6.15,4 Cases Raywood Family,,,,"90 points (Wine Enthusiast) ""Best Buy""",,,x
California,Central Coast,Raywood,Raywood Rose,0.750,CAL1342,$7.33,$6.67,$6.67,$6.15,4 Cases Raywood Family,,,,"90 points (Wine Enthusiast) ""Best Buy""",,,x
California,Central Coast,Raywood,Raywood Sauvingnon Blanc,0.750,CAL1238,$7.33,$6.67,$6.67,$6.15,4 Cases Raywood Family,,,,,,x,x
California,Central Coast,Raywood,Raywood Tap Handles,N/A,,$0.00,,,,,,,,,,,
California,Central Coast,Raywood,Raywood White Zinfandel,0.750,CAL1233,$7.33,$6.67,$6.67,$6.15,4 Cases Raywood Family,,,,,,x,x
California,Napa Valley,Saddleback Cellars,Saddleback Cellars Cabernet Sauvignon,0.750,CAL1176,$56.67,$54.99,,$53.33,Case 1 (2015 vintage only),,,,,,,
California,Napa Valley,Saddleback Cellars,Saddleback Cellars Cabernet Sauvignon Reserve,0.750,CAL1181,$120.00,,,,,,,,,,,
California,Napa Valley,Saddleback Cellars,Saddleback Cellars Chardonnay,0.750,CAL1173,$26.67,$25.49,,,,,,,,,,
California,Napa Valley,Saddleback Cellars,Saddleback Cellars Merlot,0.750,CAL1177,$39.99,$38.99,,$36.67,Case 1 (2016 vintage only),,,,,,,
California,Napa Valley,Saddleback Cellars,Saddleback Cellars Rancher Red,0.750,CAL1175,$24.99,$23.33,,,,,,,,,,
California,Napa Valley,Saddleback Cellars,Saddleback Cellars Vermentino,0.750,CAL1180,$19.99,,,$16.99,Case 1 (2018 vintage only),,,,,,,
California,Napa Valley,Saddleback Cellars,Saddleback Cellars Zinfandel,0.750,CAL1174,$34.99,$33.33,,$29.99,Case 1 (2018 vintage only),,,,,,,
California,Monterey County,Scheid Family Vineyards,Craftwork Cabernet Sauvignon,0.750,CAL1188,$8.66,$8.33,,,,,,,,,,
California,Monterey County,Scheid Family Wines,Rocklin Ranch Cabernet Sauvignon,0.750,CAL1184,$9.99,$9.33,$9.00,$9.00,3+ cases (mix & match in brand),,,,,,,
California,Monterey County,Scheid Family Wines,Rocklin Ranch Chardonnay,0.750,CAL1183,$9.99,$9.33,$9.00,$9.00,3+ cases (mix & match in brand),,,,,,,
California,Monterey County,Scheid Family Wines,Rocklin Ranch Pinot Noir,0.750,CAL1185,$9.99,$9.33,$9.00,$9.00,3+ cases (mix & match in brand),,,,,,,
California,Monterey County,Scheid Family Wines,Rocklin Ranch Pinot Noir 2016 Vintage,0.750,CAL1226,$9.99,$8.00,,$7.00,5+ cases,$6.00,20+ cases,,,,,
California,Sonoma County,Sky Devil Wines,Sky Devil Cabernet Franc,0.750,CAL1330,$270.00,,,,,,,,,,,
California,Sonoma County,Sky Devil Wines,Sky Devil Cabernet Sauvignon,0.750,CAL1225,$99.99,,,,,,,,94 Points (Wine Enthusiast) 2018; 96 Points (Wine Enthusiast) 2019,,,
California,Sonoma County,Sky Devil Wines,Sky Devil Dash Two,0.750,CAL1343,$45.00,,,,,,,,,,,
California,Sonoma County,Sky Devil Wines,Sky Devil Formation,0.750,CAL1224,$69.99,,,,,,,,"93 Points (Wine Enthusiast) 2017, 2018",,,
California,Sonoma County,Sky Devil Wines,Sky Devil Malbec,0.750,CAL1296,$63.33,,,,,,,,,,,
California,Sonoma County,Sky Devil Wines,Sky Devil Rose,0.750,CAL1325,$29.99,,,,,,,,,,,
California,Sonoma County,Skylark,Skylark Rodgers Creek Syrah,0.750,CAL1130,$25.99,$25.33,,,,,,,,,,
California,Mendocino County,Skylark Wines,Skylark Alondra Cabernet Sauvignon ,0.750,CAL1055,$31.99,$29.99,,,,,,,,,,
California,Mendocino County,Skylark Wines,Skylark Alondra Chardonnay ,0.750,CAL1054,$15.00,$14.00,,,,,,,,,,
California,Mendocino County,Skylark Wines,Skylark Grenache ,0.750,CAL1056,$19.99,$19.33,,$16.67,Case 1 (2014 vintage only),,,,,,,
California,Mendocino County,Skylark Wines,Skylark Las Aves,0.750,CAL1053,$21.33,$19.99,,,,,,,,,,
California,Mendocino County,Skylark Wines,Skylark Pink Belly ,0.750,CAL1069,$13.33,$12.99,$12.50,$10.00,Case 1 (2018 vintage only),,,,,,,
California,Mendocino County,Skylark Wines,Skylark Pinot Blanc ,0.750,CAL1052,$13.33,$12.99,$12.33,$11.33,3+ cases,,,,,,,
California,Mendocino County,Skylark Wines,Skylark Red Belly,0.750,CAL1051,$14.99,$14.33,$13.50,,,,,,,,,
California,Paso Robles ,STEL+MAR,Andrew by STEL+MAR Caberent Sauvignon,0.750,CAL1359,$16.67,$15.99,$14.00,,,,,,,,,
California,Paso Robles ,STEL+MAR,Andrew by STEL+MAR Syrah,0.750,CAL1360,$16.67,$15.99,$14.00,,,,,,92 Points Wine Enthusiast,,,
California,California,STEL+MAR,STEL+MAR Cabernet Sauvignon,0.750,CAL1334,$9.99,$9.50,$8 (2 cases Solid Per SKU for VA; 3 cs for MD/DC),$9.00,3 case solid or mix and match (MD & DC),$8.00,6 Cases Mix & Match,,90 Points (Tasting Panel) and Best Buy,,,x
California,California,STEL+MAR,STEL+MAR Chardonnay,0.750,CAL1332,$9.99,$9.50,$8 (2 cases Solid Per SKU for VA; 3 cs for MD/DC),$9.00,3 case solid or mix and match (MD & DC),$8.00,6 Cases Mix & Match in VA,,91 points (tasting panel) and Best Buy,,,x
California,California,STEL+MAR,STEL+MAR Red Blend,0.750,"CAL1333
CAL1334",$9.99,$9.50,$8 (2 cases Solid Per SKU for VA; 3 cs for MD/DC),$9.00,3 case solid or mix and match (MD & DC),$8.00,6 Cases Mix & Match in VA,,91 points (Tasting Panel) and Best Buy,,,x
California,California,STEL+MAR,STEL+MAR Rose,0.750,CAL1331,$9.99,$9.50,$8 (2 cases Solid Per SKU for VA; 3 cs for MD/DC),$9.00,3 case solid or mix and match (MD & DC),$8.00,6 Cases Mix & Match in VA,,92 points (tasting panel) and Best Buy,,,x
California,California,STEL+MAR,STEL+MAR Sauvignon Blanc,0.750,CAL1344,$9.99,$9.50,$8 (2 cases Solid Per SKU for VA; 3 cs for MD/DC),$9.00,3 case solid or mix and match (MD & DC),$8.00,6 Cases Mix & Match in VA,,91 points (Tasting Panel),,,x
California,California,STEL+MAR,STEL+MAR Sparkling Rose,0.750,CAL1341,$11.99,$11.33,$10.50 (2 cases Solid Per SKU for VA; 3 cs for MD/DC),$10.50,3 case solid or mix and match (MD & DC),$10.00,6 Cases Mix & Match in VA,,90 Points (Tasting Panel) and Best Buy,,,
California,Napa Valley,Tarpon Cellars,Tarpon Cellars Cabernet Sauvignon,0.750,CAL1336,$80.00,,,,,,,,,,,
California,Napa Valley,Tarpon Cellars,Tarpon Cellars Cambaro Rose,0.750,CAL1327,$15.99,14.66,,$11.99,Case 1,,,,,,,
California,Napa Valley,Tarpon Cellars,Tarpon Cellars Cambaro Skin Contact,0.750,CAL1326,$17.33,16.67,,$13.33,Case 1,,,,,,,
California,Napa Valley,Tarpon Cellars,Tarpon Cellars Cambaro White,0.750,CAL1328,$15.99,14.66,,$13.33,Case 1,,,,,,,
California,Sonoma (Dry Creek),Tarpon Cellars,Tarpon Cellars Rebirth Zinfandel,0.750,CAL1335,$28.00,,,$24.00,Case 1,,,,,,,
California,Napa Valley,The Vineyard House,Jeremy Nickel Cellars Cabernet Sauvignon,0.750,CAL1319,$70.00,,,,,,,,,,,
California,Napa Valley,The Vineyard House,Jeremy Nickel Cellars Chardonnay,0.750,CAL1318,$40.00,,,,,,,,,,,
California,Napa Valley,The Vineyard House,Jeremy Nickel Cellars Sauvignon Blanc,0.750,CAL1389,$33.33,,,,,,,,,,,
California,Napa Valley,The Vineyard House,TVH Block 5 Cabernet Franc,0.750,CAL1316,$135.00,,,,,,,,93 points (Jeb Dunnuck) 2018,,,
California,Napa Valley,The Vineyard House,TVH Cabernet Sauvignon,0.750,CAL1315,$210.00,,,,,,,,94+ points (Jeb Dunnuck) 2018,,,
California,Napa Valley,The Vineyard House,TVH Oakville Chardonnay,0.750,CAL1314,$76.00,,,,,,,,,,,
California,Napa Valley,The Vineyard House,TVH The Boss Block 8 Cabernet Sauvignon,0.750,CAL1317,$290.00,,,,,,,,95+ points (Jeb Dunnuck) 2018,,,
California,St. Helena (Napa Valley),Three Clicks,Napa Valley  Three Clicks Sauvignon Blanc ,0.750,CAL1068,$15.99,$14.00,$12.00,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Cabernet Franc,0.750,CAL1099,$79.99,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Cabernet Franc Magnum,1.500,CAL1101,$185.00,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Cabernet Sauvignon,0.750,CAL1096,$94.99,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Intrigue,0.750,CAL1098,$69.99,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Intrigue Magnum,1.500,CAL1102,$155.00,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Merlot,0.750,CAL1178,$69.99,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Petit Verlot,0.750,CAL1106,$63.33,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Pinot Noir,0.750,CAL1255,$59.99,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Rendezvous,0.750,CAL1103,$107.50,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Rendezvouz Magnum,1.500,CAL1295,$255.00,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Vineyard Cabernet Sauvignon Magnum,1.500,CAL1172,$225.00,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Vineyard Mayhem,0.750,CAL1170,$79.99,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Vineyard Mayhem Magnum,1.500,CAL1104,$200.00,,,,,,,,,,,
California,St. Helena (Napa Valley),Trespass Vineyard,Trespass Vineyard Mischief,0.750,CAL1169,$73.33,,,,,,,,,,,
California,Carneros (Sonoma County),Wonderment Wines,Wonderment Wines Dr. Stan's Pinot Noir ,0.750,CAL1025,$35.00,,,,,,,Female Owned/Winemaker,,,,
California,Carneros (Sonoma County),Wonderment Wines,Wonderment Wines Hyde Vineyard Sauvignon Blanc,0.750,CAL1074,$23.33,,,$19.99,3 Cases Solid,,,Female Owned/Winemaker,,,,
California,Carneros (Sonoma County),Wonderment Wines,Wonderment Wines Rose of Zinfandel,0.750,CAL1190,$13.67,,,,,,,Female Owned/Winemaker,,,,
California,Lake County,Wonderment Wines,Wonderment Wines Burton Ranch Zinfandel,0.750,CAL1028,$26.67,,,,,,,Female Owned/Winemaker,,,,
California,Rockpile (Sonoma County),Wonderment Wines,Wonderment Wines Rockpile Zinfandel,0.750,CAL1027,$36.67,,,,,,,Female Owned/Winemaker,,,,
California,Russian River Valley (Sonoma County),Wonderment Wines,Wonderment Wines Bacigalupi Old Vine Zinandel ,0.750,CAL1026,$33.33,,,,,,,Female Owned/Winemaker,,,,
California,Russian River Valley (Sonoma County),Wonderment Wines,Wonderment Wines Bacigalupi Petite Sirah ,0.750,CAL1029,$33.33,,,,,,,Female Owned/Winemaker,,,,
California,Russian River Valley (Sonoma County),Wonderment Wines,Wonderment Wines Cavalier Cuvee,0.750,CAL1218,$23.33,,,,Exclusive to Cavalier Hotel,,,Female Owned/Winemaker,,,,
California,Russian River Valley (Sonoma County),Wonderment Wines,Wonderment Wines Dutton-Cambell Pinot Noir ,0.750,CAL1024,$33.33,,,,,,,Female Owned/Winemaker,,,,
Chilean,Central Valley,Bodegas Tagua Tagua,Tagua Tagua Cabernet Sauvignon,0.750,CHL1025,6.67,5.99,,,,,,,,,,
Chilean,Central Valley,Bodegas Tagua Tagua,Tagua Tagua Chardonnay,0.750,CHL1026,6.67,5.99,,,,,,,,,,
Chilean,Central Valley,Bodegas Tagua Tagua,Tagua Tagua Gran Reserve Carmenere,0.750,CHL1027,$11.99,$11.33,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Gran Reserva Cabernet Sauvignon CLP 1010,0.750,CHL1010,$26.67,,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Gran Reserva Pinot Noir CLP 1008,0.750,CHL1011,$26.67,,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Inedito CLP1011,0.750,CHL1009,$33.33,,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Mosaiko Pinot Noir,0.750,CHL1023,$9.99,$9.66,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Mosaiko Reserva Cabernet Sauvignon,0.750,CHL1016,$9.99,$9.66,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Mosaiko Sauvignon Blanc,0.750,CHL1018,$9.99,$9.66,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Vivendo Assemblage,0.750,CHL1019,$10.67,$10.33,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Vivendo Cabernet Sauvignon,0.750,CHL1020,$9.99,$9.49,,,,,,,,,,
Chilean,Cachapoal Valley,Calyptra,Calyptra Zahir CLP1012,0.750,CHL1008,$49.99,,,$40.00,2010 vintage only,,,,,,,
Chilean,Central Valley,MHW (VIK Wines),Eulila Red Blend (Fogo Placement),0.750,CHL1007,$16.00,,,,,,,,,,,
Chilean,Central Valley,MHW (VIK Wines),Eulila Red Blend 1.5L (Fogo Exclusive - DC & MD),1.500,CHL1012,$44.00,,,,,,,,,,,
Chilean,Central Valley,MHW (VIK Wines),O LEAO Red Blend (Fogo Exclusive - DC & MD),0.750,CHL1013,$19.00,,,,,,,,,,,
Chilean,Central Valley,MHW (VIK Wines),O LEAO Red Blend 1.5L(Fogo Exclusive - DC & MD),1.500,CHL1014,$44.00,,,,,,,,,,,
Chilean,Central Valley,Vina Siegel,Banner Day Cabernet Sauvignon,0.750,CHL1005,$7.99,$7.49,$6.99,$6.00,3+ cases,,,,,,,
Chilean,Central Valley,Vina Siegel,Banner Day Carmenere,0.750,CHL1006,$7.99,$7.49,$6.99,,,,,,,,,
Chilean,Central Valley,Vina Siegel,Banner Day Sauvignon Blanc,0.750,CHL1004,$7.99,$7.49,$6.99,$6.00,3+ cases,,,,,,,
France,Loire Valley,Antoine Simoneau,Antoine Simoneau Brut Blanc Clasique,0.750,FRA1015,$9.99,$9.66,$8.33,$8.33,3+ cases of Simoneau (restaurant or retail),,,,,,,
France,Loire Valley,Antoine Simoneau,Antoine Simoneau Brut Rose ,0.750,FRA1016,$9.99,$9.66,$8.33,$8.33,3+ cases of Simoneau (restaurant or retail),,,,,,,
France,Loire Valley,Antoine Simoneau,Antoine Simoneau Les Georges Sauvignon Blanc de Loire,0.750,FRA1103,$10.67,$10.33,$10.33,$9.99,3+ cases of Les Georges,,,,,,,
France,Champagne,Bauget-Jouette,Bauget-Jouette Blanc de Blancs,0.750,FRA1022,$43.33,,,,,,,,,,,
France,Champagne,Bauget-Jouette,Bauget-Jouette Carte Blanche,0.750,FRA1020,$32.00,,,$29.33,24+ bottles solid,,,,,,x,
France,Champagne,Bauget-Jouette,Bauget-Jouette Carte Blanche 375,0.375,FRA1050,$20.00,,,$18.50,2+ cases solid,,,,,,,
France,Champagne,Bauget-Jouette,Bauget-Jouette Cuvee Jouette,0.750,FRA1021,$53.33,,,,,,,,,,,
France,Champagne,Bauget-Jouette,Bauget-Jouette Cuvee Jouette 2005 Magnum,1.500,FRA1166,$280.00,,,,,,,,,,,
France,Champagne,Bauget-Jouette,Bauget-Jouette Grande Reserve Magnum,1.500,FRA1175,$93.33,,,,,,,,,,,
France,Champagne,Bauget-Jouette,Bauget-Jouette Rose,0.750,FRA1023,$43.33,,,,,,,,,,,
France,Burgundy,Bellene,Domaine de Bellene Cotes de Nuits Village,0.750,FRA1113,$47.33,,,$45.33,3 cases solid,,,,,,,
France,Burgundy,Bellene,Domaine de Bellene Savigny-les-Beaune Blanc,0.750,FRA1112,$47.33,,,$45.33,3 cases solid,,,,,,,
France,Burgundy,Bellene,Maison Roche de Bellene Bourgogne Blanc,0.750,FRA1107,$23.33,,,$21.50,3 cases solid,$19.99,5 cases solid,,,,,
France,Burgundy,Bellene,Maison Roche de Bellene Bourgogne Rouge,0.750,FRA1108,$23.33,,,$21.50,3 cases solid,$19.99,5 cases solid,,,,,
France,Burgundy,Bellene,Maison Roche de Bellene Chambolle-Musigny VV,0.750,FRA1111,$96.67,,,$90.00,3 cases solid,,,,,,,
France,Burgundy,Bellene,Maison Roche de Bellene Gevrey-Chambertin VV,0.750,FRA1110,$86.67,,,$80.00,3 cases solid,,,,,,,
France,Burgundy,Bellene,Maison Roche de Bellene Meursalt VV,0.750,FRA1109,$86.67,,,$80.00,3 cases solid,,,,,,,
France,Champagne,Bernard Gaucher,Bernard Gaucher Champagne Brut,0.750,FRA1060,$28.00,,,,,,,,,,,
France,Champagne,Bernard Gaucher,Bernard Gaucher Champagne Brut 375 ml,0.375,FRA1061,$18.00,,,,,,,,,,,
France,Bordeaux,Chateau Haut Maco,Chateau Govain,0.750,FRA1087,$10.67,$9.99,$9.99,$9.49,5 cases,,,,,,,
France,Bordeaux,Chateau Haut Maco,Chateau Haut-Maco Jean Bernard,0.750,FRA1006,$16.67,$15.99,$13.33,$12.00,Case 1 (2011 vintage only),,,,,,,
France,Bordeaux,Chateau Haut Maco,Chateau Haut-Maco Les Bascauts,0.750,FRA1009,$9.33,$8.66,$8.00,$7.49,3 Case promotion (solid),,,,,,,
France,Bordeaux,Chateau Haut Maco,Domaine de Lilotte,0.750,FRA1088,$9.99,$9.66,$9.66,$8.99,5 cases,,,,,,,
France,Bordeaux,Chateau Le Prieur,Entre deux Mers Blanc Sec,0.750,FRA1003,$8.66,,,$8.33,3 cases,,,,86 points and Best Buy (Wine Enthusiast),,,
France,Languedoc-Rousillon,Chateau Maris,Well Crafted Vin de France Organic Rose,20.000,FRA1169,$165.00,,,,,,,,,,,
France,Languedoc-Rousillon,Chateau Maris,Well Crafted Vin de France Organic Rouge,20.000,FRA1168,$175.00,,,,,,,,,,,
France,Cahors,Clos d'Audhuy,Clos d'Audhuy,0.750,FRA1138,$23.33,,,,,,,,93 Points (Wine Enthusiast),,,
France,Cahors,Clos d'Audhuy,Clos d'Audhuy Les Polissons,0.750,FRA1138,$14.66,,,,,,,,,,,
France,Cahors,Clos d'Audhuy,Clos d'Audhuy Toujours Plus 1L,1.000,FRA1136,$16.67,,,,,,,,90 Points (James Suckling),,,
France,Bordeaux,Cordier USA,Cafe de Paris Brut Blanc de Blanc NV,0.750,FRA1047,$9.99,$9.33,$8.33,$8.33,5 Cases (Cafe de Paris),,,,,,,
France,Bordeaux,Cordier USA,Cafe de Paris Brut Rose,0.750,FRA1048,$9.99,$9.33,$8.33,$8.33,5 Cases (Cafe de Paris),,,,90 points NV (Tasting Panel/Somm),,,
France,Bordeaux,Cordier USA,Cafe de Paris Organic Blanc,0.750,FRA1126,$10.67,$9.99,$9.00,$9.00,5 Cases (Cafe de Paris),,,,91 points NV (Tasting Panel/Somm),,,
France,Bordeaux,Cordier USA,Chateau La Vallee Saint-Emilion,0.750,FRA1043,$14.33,$13.33,,,,,,Organic/Biodynamic,,,,
France,Languedoc-Roussillon,Cordier USA,Chateau Maris Natural Selection,0.750,FRA1028,$15.33,$14.67,,,,,,Organic/Biodynamic,94 points (Wine & Spirits magazine) 2017,,,
France,Languedoc-Roussillon,Cordier USA,Maris Brama,0.750,FRA1040,$23.33,$22.66,,,,,,Organic/Biodynamic,,,,
France,Languedoc-Roussillon,Cordier USA,Maris Chardonnay,0.750,FRA1069,$12.00,$11.33,,,,,,Organic/Biodynamic,,,,
France,Languedoc-Roussillon,Cordier USA,Maris La Touge,0.750,FRA1035,$15.33,$14.67,,,,,,Organic/Biodynamic,95 points (Wine & Spirits magazine) 2019,,,
France,Languedoc-Roussillon,Cordier USA,Maris Les Amandiers,0.750,FRA1039,$60.00,$55.00,,,,,,Organic/Biodynamic,93 points (wine and spirits magazine) 2016,,,
France,Languedoc-Roussillon,Cordier USA,Maris Les Planels,0.750,FRA1036,$19.99,$19.00,,,,,,Organic/Biodynamic,94 points (Jeb Dunnuck) 2020,,,
France,Languedoc-Roussillon,Cordier USA,Maris Naive,0.750,FRA1077,$26.67,,,,,,,Organic/Biodynamic,93 points (wine enthusiast) 2020,,,
France,Languedoc-Roussillon,Cordier USA,Maris Nymphe De Emue Rose,0.750,FRA1032,$13.33,$12.67,11.5 (2 cases solid),,,,,Organic/Biodynamic,91 points (wine enthusiast) 2021,,,
France,Languedoc-Roussillon,Cordier USA,Maris Orange,0.750,FRA1086,$14.67,$13.99,$12.00 (24 bottles minimum),,,,,Organic/Biodynamic,88 points (wine spectator) 2021,,,
France,Languedoc-Roussillon,Cordier USA,Maris Rose,0.750,FRA1030,$11.00,$10.50,9.99 (2 cases solid),$9.99,5 cases solid,,,Organic/Biodynamic,90 points (wine enthusiast) 2022,,,
France,Languedoc-Roussillon,Cordier USA,Maris Rose in Cans,0.250,FRA1051,$3.99,,,$3.66,3 Cases Solid (Cans Only),,,,,,,
France,Languedoc-Roussillon,Cordier USA,Maris Rouge,0.750,FRA1029,$11.00,$10.50,,,,,,Organic/Biodynamic,89 points (wine enthusiast) 2021,,,
France,Languedoc-Roussillon,Cordier USA,Maris Savoir Vellier,0.750,FRA1037,$19.99,$19.00,,,,,,Organic/Biodynamic,,,,
France,Languedoc-Roussillon,Cordier USA,Maris Zulu,0.750,FRA1034,$12.67,$12.00,,,,,,Organic/Biodynamic,"Gold medal (Millesime Bio) 2019, 91 points (wine enthusiast) 2018",,,
France,Burgundy,Coste Caumartin,Coste Caumartin 1er Cru Les Chouacheaux Blanc,0.750,FRA1124,$66.67,,,,,,,,,,,
France,Burgundy,Coste Caumartin,Coste Caumartin 1er Cru Les Choucheaux Rouge,0.750,FRA1125,$79.99,,,,,,,,,,,
France,Burgundy,Coste Caumartin,Coste Caumartin 1er Crus Close de Boucherottes,0.750,FRA1123,$90.00,,,,,,,,,,,
France,Burgundy,Coste Caumartin,Coste Caumartin Cote d'or Chardonnay,0.750,FRA1121,$29.99,,,,,,,,,,,
France,Burgundy,Coste Caumartin,Coste Caumartin Haut Cotes de Beaune,0.750,FRA1122,$32.00,,,,,,,,,,,
France,Loire Valley,Domaine Benedetti,Domaine Benedetti Chateauneuf-du-Pape,0.750,FRA1145,$36.67,,,,,,,Organic,,,,
France,Loire Valley,Domaine Benedetti,Domaine Benedetti Cotes du Rhone,0.750,FRA1143,$11.99,,,,,,,Organic,,,,
France,Loire Valley,Domaine Benedetti,Domaine Benedetti IGP Vaucluse,0.750,FRA1144,$9.33,,,,,,,Organic,,,,
France,Loire Valley,Domaine Bizet,Domaine Bizet Sancerre Blanc,0.750,FRA1134,$24.00,$23.33,,$21.00 3cs brand mix/match,,,,,,,,
France,Loire Valley,Domaine Bizet,Domaine Bizet Sancerre Rose,0.750,FRA1133,$24.00,$23.33,,$21.00 3cs brand mix/match,,,,,,,,
France,Loire Valley,Domaine Bizet,Domaine Bizet Sancerre Rouge,0.750,FRA1135,$24.00,$23.33,,$21.00 3cs brand mix/match,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Bourgogne Blanc,0.750,FRA1091,$21.33,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Bourgogne Pinot Noir,0.750,FRA1095,$21.33,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Bouzeron Les Tournelles Blanc,0.750,FRA1090,$23.33,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Chassagne Montrachet 1er Cru Clos Saint Jean Blanc,0.750,FRA1084,$99.99,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Chassagne Montrachet Vieilles Vignes,0.750,FRA1083,$76.66,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Chassange Montrachet 1er Cru Les Chenevottes Blanc,0.750,FRA1092,$89.99,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Puligny Montrachet Les Grands Champs Blanc,0.750,FRA1082,$73.33,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Puligny Montrachet Les Meix Blanc,0.750,FRA1093,$79.99,,,,,,,,,,,
France,Burgundy,Domaine Borgeot,Domaine Borgeot Rully La Chapponniere Blanc,0.750,FRA1081,$24.66,,,,,,,,,,,
