Warehouse,Account,Item number,Item type,Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,Items per case,Unit quantity,Unit,Barrel or tank,Liters,Unit COGS,COGS,Pending orders (cases),Pending orders (unit quantity),Pending goods received (cases),Pending goods received (unit quantity),Warehouse Location
Warrenton,Well Crafted Wine & Beverage Co.,28569,Wine,Tenuta Talamonti,Italian,Colle Corviano,Trebbiano d'Abruzzo,,ITA1057,2024,Still,White,,101.33,12,1216,750 ml,,912,0,0,-0.67,-8,0,0,14-I1 / 14-I3 / 15-H3
Warrenton,Well Crafted Wine & Beverage Co.,16934,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Arneis,,ITA1032,2021,Still,White,,-1.08,12,-13,750 ml,,-9.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,24067,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Arneis,,ITA1032,2023,Still,White,,0.5,12,6,750 ml,,4.5,0,0,0,0,0,0,12-A
Warrenton,Well Crafted Wine & Beverage Co.,29331,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Arneis,,ITA1032,2024,Still,White,,356.67,12,4280,750 ml,,"3,210.00",0,0,-2.58,-31,0,0,12-A / 19-C2 / 19-C3 / 19-E2 / 18-B
Warrenton,Well Crafted Wine & Beverage Co.,20357,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Barbera D Alba,,ITA1014,2022,Still,Red,Barbera,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,18-A7
Warrenton,Well Crafted Wine & Beverage Co.,24999,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Barbera D Alba,,ITA1014,2023,Still,Red,Barbera,18.17,12,218,750 ml,,163.5,0,0,-5.08,-61,0,0,14-D1 / 14-F3
Warrenton,Well Crafted Wine & Beverage Co.,29332,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Barbera D Alba,,ITA1014,2024,Still,Red,Barbera,140,12,1680,750 ml,,"1,260.00",0,0,0,0,0,0,14-F3 / 14-G3
Warrenton,Well Crafted Wine & Beverage Co.,15952,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Barolo,,ITA1038,2017,Still,Red,Nebbiolo,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,17968,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Barolo,,ITA1038,2018,Still,Red,Nebbiolo,0.58,12,7,750 ml,,5.25,0,0,0,0,0,0,12-G2
Warrenton,Well Crafted Wine & Beverage Co.,29334,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Barolo,,ITA1038,2020,Still,Red,Nebbiolo,20,12,240,750 ml,,180,0,0,-9.42,-113,0,0,13-G2 / 14-H3
Warrenton,Well Crafted Wine & Beverage Co.,14997,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Dolcetto D Alba,,ITA1012,2020,,,,0.75,12,9,750 ml,,6.75,0,0,0,0,0,0,13-I
Warrenton,Well Crafted Wine & Beverage Co.,20358,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Dolcetto D Alba,,ITA1012,2022,,,,18.33,12,220,750 ml,,165,0,0,0,0,0,0,13-I1
Warrenton,Well Crafted Wine & Beverage Co.,29333,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Dolcetto D Alba,,ITA1012,2024,,,,30,12,360,750 ml,,270,0,0,0,0,0,0,17-H
Warrenton,Well Crafted Wine & Beverage Co.,10392,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Dolcetto D Alba STAINED LABELS,,ITA1012,2018,,,,0.33,12,4,750 ml,,3,0,0,0,0,0,0,18-A7
Warrenton,Well Crafted Wine & Beverage Co.,11409,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Nebbiolo D Alba,,ITA1013,2018,,,,9.17,12,110,750 ml,,82.5,0,0,0,0,0,0,20-D2
Warrenton,Well Crafted Wine & Beverage Co.,20359,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Nebbiolo D Alba,,ITA1013,2020,,,,1.42,12,17,750 ml,,12.75,0,0,0,0,0,0,13-I2
Warrenton,Well Crafted Wine & Beverage Co.,25000,Wine,Collina San Ponzio (Supplier),Italian,Collina San Ponzio,Nebbiolo D Alba,,ITA1013,2023,,,,25.92,12,311,750 ml,,233.25,0,0,0,0,0,0,14-I1 / 14-H3
Warrenton,Well Crafted Wine & Beverage Co.,27395,Wine,Conde Valdemar,Spanish,,Conde Valdemar Finca Alta Cantabria White,,SPA1343,2023,Still,White,Viura,0.08,12,1,750 ml,,0.75,0,0,-0.08,-1,0,0,12-H2
Warrenton,Well Crafted Wine & Beverage Co.,21362,Wine,Conde Valdemar,Spanish,Conde Valdemar,Balcon de Pilatos Maturana,,SPA1281,2019,Still,Red,Maturana,0.17,6,1,750 ml,,0.75,0,0,0,0,0,0,19-A5
Warrenton,Well Crafted Wine & Beverage Co.,24284,Wine,Conde Valdemar,Spanish,Conde Valdemar,Balcon de Pilatos Maturana,,SPA1281,2020,Still,Red,Maturana,0.67,6,4,750 ml,,3,0,0,0,0,0,0,12-D2
Warrenton,Well Crafted Wine & Beverage Co.,29326,Wine,Conde Valdemar,Spanish,Conde Valdemar,Balcon de Pilatos Maturana,,SPA1281,2022,Still,Red,Maturana,13.33,6,80,750 ml,,60,0,0,0,0,0,0,12-D2
Warrenton,Well Crafted Wine & Beverage Co.,21359,Wine,Conde Valdemar,Spanish,Conde Valdemar,Blanco,,SPA1278,2022,Still,White,"Viura, Malvasía, Tempranillo Blanco",0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,14-I2
Warrenton,Well Crafted Wine & Beverage Co.,24282,Wine,Conde Valdemar,Spanish,Conde Valdemar,Blanco,,SPA1278,2023,Still,White,"Viura, Malvasía, Tempranillo Blanco",54.58,12,655,750 ml,,491.25,0,0,0,0,0,0,13-H1 / 13-H3
Warrenton,Well Crafted Wine & Beverage Co.,21360,Wine,Conde Valdemar,Spanish,Conde Valdemar,Crianza,,SPA1275,2018,Still,Red,"Tempranillo, Mazuelo, Graciano",0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,19-A5
Warrenton,Well Crafted Wine & Beverage Co.,22789,Wine,Conde Valdemar,Spanish,Conde Valdemar,Crianza,,SPA1275,2019,Still,Red,"Tempranillo, Mazuelo, Graciano",15.5,12,186,750 ml,,139.5,0,0,-1,-12,0,0,11-E1
Warrenton,Well Crafted Wine & Beverage Co.,21363,Wine,Conde Valdemar,Spanish,Conde Valdemar,La Gargantilla Garnacha,,SPA1279,2018,Still,Red,Garnacha,-0.17,6,-1,750 ml,,-0.75,0,0,0,0,0,0,10-J
Warrenton,Well Crafted Wine & Beverage Co.,22790,Wine,Conde Valdemar,Spanish,Conde Valdemar,La Gargantilla Garnacha,,SPA1279,2019,Still,Red,Garnacha,21.17,6,127,750 ml,,95.25,0,0,0,0,0,0,12-D2
Warrenton,Well Crafted Wine & Beverage Co.,27627,Wine,Conde Valdemar,Spanish,Conde Valdemar,Las Seis Alhajas Graciano,,SPA1280,2021,Still,White,Graciano,28.17,6,169,750 ml,,126.75,0,0,-1.67,-10,0,0,12-F1
Warrenton,Well Crafted Wine & Beverage Co.,27804,Wine,Conde Valdemar,Spanish,Conde Valdemar,Reserva,,SPA1276,2017,Still,Red,"Tempranillo, Garnacha, Graciano, Maturana",21.67,12,260,750 ml,,195,0,0,0,0,0,0,11-H1
Warrenton,Well Crafted Wine & Beverage Co.,27802,Wine,Conde Valdemar,Spanish,Conde Valdemar,Reserva Magnum,,SPA1354,2016,,,,1.67,6,10,750 ml,,7.5,0,0,0,0,0,0,11-C2
Warrenton,Well Crafted Wine & Beverage Co.,21358,Wine,Conde Valdemar,Spanish,Conde Valdemar,Rose,,SPA1274,2022,Still,,"Garnacha, Viura",0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,19-A4
Warrenton,Well Crafted Wine & Beverage Co.,24281,Wine,Conde Valdemar,Spanish,Conde Valdemar,Rose,,SPA1274,2023,Still,,"Garnacha, Viura",2.75,12,33,750 ml,,24.75,0,0,0,0,0,0,12-C2
Warrenton,Well Crafted Wine & Beverage Co.,28257,Wine,Conde Valdemar,Spanish,Conde Valdemar,Rose,,SPA1274,2024,Still,,"Garnacha, Viura",86.83,12,1042,750 ml,,781.5,0,0,-0.33,-4,0,0,12-C1 / 12-C3
Warrenton,Well Crafted Wine & Beverage Co.,21368,Wine,Conde Valdemar,Spanish,Conde Valdemar,Tempranillo Blanco (Green Labels),,SPA1277,2022,Still,White,Tempranillo Blanco,1.83,12,22,750 ml,,16.5,0,0,0,0,0,0,12-H2
Warrenton,Well Crafted Wine & Beverage Co.,24283,Wine,Conde Valdemar,Spanish,Conde Valdemar,Tempranillo Blanco (Green Labels),,SPA1277,2023,Still,White,Tempranillo Blanco,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,19-A4
Warrenton,Well Crafted Wine & Beverage Co.,29324,Wine,Conde Valdemar,Spanish,Conde Valdemar,Tempranillo Blanco (Green Labels),,SPA1277,2024,Still,White,Tempranillo Blanco,6.5,12,78,750 ml,,58.5,0,0,-0.25,-3,0,0,13-E1
Warrenton,Well Crafted Wine & Beverage Co.,25674,Wine,Conde Valdemar,Spanish,Conde Valdemar,Valdemoreda Tinto,,SPA1345,2022,Still,Red,Tempranillo,29.92,12,359,750 ml,,269.25,0,0,0,0,0,0,16-A
Warrenton,Well Crafted Wine & Beverage Co.,24290,Wine,Conde Valdemar,Spanish,Conde Valdemar,White Tempranillo (White Labels),,SPA1316,2023,Still,White,Tempranillo Blanco,96.33,12,1156,750 ml,,867,0,0,-1.08,-13,0,0,12-G1  / 12-I3 / 13-I3
Warrenton,Well Crafted Wine & Beverage Co.,24631,Wine,Quinta das Arcas: Conde Villar,Portuguese,,Conde Villar Red,,POR1024,2022,,,,45.42,12,545,750 ml,,408.75,0,0,-0.08,-1,0,0,22-A1 / 22-A3
Warrenton,Well Crafted Wine & Beverage Co.,30043,Wine,Quinta das Arcas: Conde Villar,Portuguese,Conde Villar,Alvarinho,,POR1023,2024,,,,13.17,12,158,750 ml,,118.5,0,0,0,0,0,0,12-G1
Warrenton,Well Crafted Wine & Beverage Co.,17051,Wine,Quinta das Arcas: Conde Villar,Portuguese,Conde Villar,Branco,,POR1022,2021,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,19-A8
Warrenton,Well Crafted Wine & Beverage Co.,30042,Wine,Quinta das Arcas: Conde Villar,Portuguese,Conde Villar,Branco,,POR1022,2024,,,,72.92,12,875,750 ml,,656.25,0,0,-1.42,-17,0,0,12-D1 / 12-E3
Warrenton,Well Crafted Wine & Beverage Co.,17053,Wine,Quinta das Arcas: Conde Villar,Portuguese,Conde Villar,Red,,POR1024,2021,,,,0.75,12,9,750 ml,,6.75,0,0,0,0,0,0,13-I2
Warrenton,Well Crafted Wine & Beverage Co.,19088,Wine,,,Coravin,Argon Capsules,,,,,,,4.25,8,34,1 each,,,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,20570,Wine,Alella Vinicola,Spanish,Costa del Maresme,Rose,,SPA1249,2021,Still,Rose,Garnacha,1.83,12,22,750 ml,,16.5,0,0,0,0,0,0,20-C2
Warrenton,Well Crafted Wine & Beverage Co.,21618,Wine,Vivino Selections,,,Coste Caumartin 1er Cru Blanc Les Chouacheaux,,FRA1124,2019,,,,3.08,12,37,750 ml,,27.75,0,0,0,0,0,0,15-H2
Warrenton,Well Crafted Wine & Beverage Co.,21617,Wine,Vivino Selections,,,Coste Caumartin 1er Cru Clos de Boucherottes,,FRA1123,2019,,,,2.08,12,25,750 ml,,18.75,0,0,0,0,0,0,15-F2
Warrenton,Well Crafted Wine & Beverage Co.,21619,Wine,Vivino Selections,,,Coste Caumartin 1er Cru Rouge Les Chouacheaux,,FRA1125,2019,,,,1.92,12,23,750 ml,,17.25,0,0,-0.08,-1,0,0,15-H2
Warrenton,Well Crafted Wine & Beverage Co.,21615,Wine,Vivino Selections,,,Coste Caumartin Chardonnay,,FRA1121,2020,,,,4.17,12,50,750 ml,,37.5,0,0,0,0,0,0,15-E2
Warrenton,Well Crafted Wine & Beverage Co.,21616,Wine,Vivino Selections,,,Coste Caumartin Haut Cotes de Beaune,,FRA1122,2021,,,,1.83,12,22,750 ml,,16.5,0,0,0,0,0,0,15-F2
Warrenton,Well Crafted Wine & Beverage Co.,4647,Wine,Costers del Sio_Supplier,Spanish,Costers Del Segre,Petit Sios Blanco,,SPA1019,2018,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,19-A4
Warrenton,Well Crafted Wine & Beverage Co.,14911,Wine,Costers del Sio_Supplier,Spanish,Costers Del Segre,Petit Sios Blanco,,SPA1019,2020,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,19-A7
Warrenton,Well Crafted Wine & Beverage Co.,17030,Wine,Costers del Sio_Supplier,Spanish,Costers Del Segre,Petit Sios Blanco,,SPA1019,2021,,,,0.25,12,3,750 ml,,2.25,0,0,0,0,0,0,19-A5
Warrenton,Well Crafted Wine & Beverage Co.,20999,Wine,Costers del Sio_Supplier,Spanish,Costers Del Segre,Petit Sios Blanco,,SPA1019,2022,,,,0.83,12,10,750 ml,,7.5,0,0,0,0,0,0,09-F2
Warrenton,Well Crafted Wine & Beverage Co.,24295,Wine,Costers del Sio_Supplier,Spanish,Costers Del Segre,Petit Sios Blanco,,SPA1019,2023,,,,4.42,12,53,750 ml,,39.75,0,0,-1.58,-19,0,0,09-G1
Warrenton,Well Crafted Wine & Beverage Co.,30040,Wine,Costers del Sio_Supplier,Spanish,Costers Del Segre,Petit Sios Blanco,,SPA1019,2024,,,,60,12,720,750 ml,,540,0,0,0,0,0,0,09-H3
Warrenton,Well Crafted Wine & Beverage Co.,19206,Wine,Costers del Sio_Supplier,Spanish,Costers del Segre,Petit Sios Tinto,,SPA1021,2021,Still,Red,,0.25,12,3,750 ml,,2.25,0,0,0,0,0,0,12-I2
Warrenton,Well Crafted Wine & Beverage Co.,24296,Wine,Costers del Sio_Supplier,Spanish,Costers del Segre,Petit Sios Tinto,,SPA1021,2022,Still,Red,,0.42,12,5,750 ml,,3.75,0,0,0,0,0,0,11-C1
Warrenton,Well Crafted Wine & Beverage Co.,27628,Wine,Costers del Sio_Supplier,Spanish,Costers del Segre,Petit Sios Tinto,,SPA1021,2023,Still,Red,,61,12,732,750 ml,,549,0,0,-0.17,-2,0,0,11-C1 / 10-F3
Warrenton,Well Crafted Wine & Beverage Co.,24298,Wine,Costers del Sio_Supplier,Spanish,Costers del Segre,Sios Brut Blanc de Noirs,,SPA1018,2021,,,,1.25,4,5,750 ml,,3.75,0,0,0,0,0,0,22-B2
Warrenton,Well Crafted Wine & Beverage Co.,25060,Wine,Costers del Sio_Supplier,Spanish,Costers del Sio,Cau del Gat,,SPA1023,2022,,,,10.92,12,131,750 ml,,98.25,0,0,0,0,0,0,13-G1
Warrenton,Well Crafted Wine & Beverage Co.,16989,Wine,,Z- Samples,Costes de Provence,Diane,,,2019,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,17008,Wine,Castoro Cellars,Californian,,Couplers for KeyKegs,,CAL1273,,,,,4,1,4,1 each,,,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,25357,Wine,Vina Aljibes,Spanish,Crimson Clover RED,Cabernet Sauvignon,,SPA1231,2022,Still,Red,Cabernet Sauvignon,107.58,12,1291,750 ml,,968.25,0,0,0,0,0,0,22-A1 / 22-B3 / 12-I3
Warrenton,Well Crafted Wine & Beverage Co.,25642,Wine,Vina Aljibes,Spanish,Crimson Clover WHITE,Sauvignon Blanc,,SPA1232,2024,Still,White,Sauvignon Blanc,122.75,12,1473,750 ml,,"1,104.75",0,0,-0.08,-1,0,0,10-B / 10-C3 / 11-C3 / 18-C
Warrenton,Well Crafted Wine & Beverage Co.,27629,Wine,Vina Aljibes,Keg,Crimson Clover,Sauvignon Blanc Keg,,SPA1183,2024,Still,White,,69,1,69,20000 ml,,"1,380.00",0,0,-1,-1,0,0,12-A / 17-G / 20-A0
Warrenton,Well Crafted Wine & Beverage Co.,24053,Wine,Vina Aljibes,Keg,Crimson Clover,Tinto (Red) Keg,,SPA1182,2020,Still,Red,,5,1,5,20000 ml,,100,0,0,-2,-2,0,0,20-A0
Warrenton,Well Crafted Wine & Beverage Co.,30047,Wine,Vina Aljibes,Keg,Crimson Clover,Tinto (Red) Keg,,SPA1182,2022,Still,Red,,14,1,14,20000 ml,,280,0,0,0,0,0,0,12-A
Warrenton,Well Crafted Wine & Beverage Co.,28576,Wine,Azienda Agricola Crosarola,Italian,Crosarola,Amarone,,ITA1037,2021,,,,10,6,60,750 ml,,45,0,0,0,0,0,0,14-H2
Warrenton,Well Crafted Wine & Beverage Co.,21570,Wine,Azienda Agricola Crosarola,Italian,Crosarola,Ripasso,,ITA1036,2021,,,,1,6,6,750 ml,,4.5,0,0,0,0,0,0,13-C2
Warrenton,Well Crafted Wine & Beverage Co.,28573,Wine,Azienda Agricola Crosarola,Italian,Crosarola,Ripasso,,ITA1036,2022,,,,140.17,6,841,750 ml,,630.75,0,0,-0.33,-2,0,0,13-D2 / 12-F3
Warrenton,Well Crafted Wine & Beverage Co.,23252,Wine,Azienda Agricola Crosarola,Italian,Crosarola,Superiore,,ITA1065,2016,Still,Red,,0.17,6,1,750 ml,,0.75,0,0,0,0,0,0,18-A7
Warrenton,Well Crafted Wine & Beverage Co.,28572,Wine,Azienda Agricola Crosarola,Italian,Crosarola,Superiore,,ITA1065,2023,Still,Red,,190.33,6,1142,750 ml,,856.5,0,0,-4.17,-25,0,0,13-H2 / 12-G3
Warrenton,Well Crafted Wine & Beverage Co.,14479,Wine,Cultura Wines,Washington,Cultura,Merlot,,WAS1024,2014,Still,Red,Merlot,2.75,12,33,750 ml,,24.75,0,0,0,0,0,0,11-G2
Warrenton,Well Crafted Wine & Beverage Co.,1034,,Well Crafted Wine & Beverage Co.,Other wine,,Customer Credit,,CREDIT1,,,,,,,-256,1 each,,,0,0,,-2,,0,
Warrenton,Well Crafted Wine & Beverage Co.,16986,Wine,,Z- Samples,Cuvee Prestige Muscadet Sevre-et-Maine,White,,,2018,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,11721,Wine,Darms Lane (Supplier),Californian,Darms Lane,"Cabernet Sauvignon, Bon Passe",,CAL1153,2016,Still,Red,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,18-A10
Warrenton,Well Crafted Wine & Beverage Co.,23068,Wine,Darms Lane (Supplier),Californian,Darms Lane,"Cabernet Sauvignon, Bon Passe",,CAL1153,2021,Still,Red,,5.25,12,63,750 ml,,47.25,0,0,0,0,0,0,22-C2
Warrenton,Well Crafted Wine & Beverage Co.,29387,Wine,Darms Lane (Supplier),Californian,Darms Lane,"Chardonnay, Oak Knoll District",,CAL1152,2023,Still,White,,4.92,12,59,750 ml,,44.25,0,0,0,0,0,0,22-D1
Warrenton,Well Crafted Wine & Beverage Co.,25945,Wine,Darms Lane (Supplier),Californian,Darms Lane,Fortune 1621 Cabernet Sauvignon,,CAL1155,2022,Still,Red,"Cabernet Sauvignon, Merlot, Petit Verdot",26.75,12,321,750 ml,,240.75,0,0,-0.17,-2,0,0,10-C1
Warrenton,Well Crafted Wine & Beverage Co.,25946,Wine,Darms Lane (Supplier),Californian,Darms Lane,Fortune 1621 Chardonnay,,CAL1156,2023,Still,White,Chardonnay,13.58,12,163,750 ml,,122.25,0,0,0,0,0,0,10-D1
Warrenton,Well Crafted Wine & Beverage Co.,14952,Wine,Darms Lane (Supplier),Californian,Darms Lane,Pinot Noir Russian River Valley,,CAL1154,2018,Still,Red,Pinot Noir,0.25,12,3,750 ml,,2.25,0,0,0,0,0,0,18-A8
Warrenton,Well Crafted Wine & Beverage Co.,27793,Wine,Darms Lane (Supplier),Californian,Darms Lane,Pinot Noir Russian River Valley,,CAL1154,2022,Still,Red,Pinot Noir,0.42,12,5,750 ml,,3.75,0,0,0,0,0,0,22-E2
Warrenton,Well Crafted Wine & Beverage Co.,18204,Wine,,Z- Samples,Daughters and Sons,Cabernet Sauvignon,,SAMPLE,2020,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,18206,Wine,,Z- Samples,Daughters and Sons,Sauvignon Blanc,,SAMPLE,2021,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,27319,Wine,PH Importing,Australian,De Bortoli,Noble One,,AUS1032,2015,Fortified,White,,8.17,12,98,375 ml,,36.75,0,0,0,0,0,0,15-F2
Warrenton,Well Crafted Wine & Beverage Co.,27320,Wine,PH Importing,Australian,De Bortoli,Old Boys 21 Years Barrel Aged Tawny,,AUS1033,,Fortified,,,8.67,12,104,500 ml,,52,0,0,0,0,0,0,20-B2
Warrenton,Well Crafted Wine & Beverage Co.,27796,Wine,PH Importing,Australian,De Bortoli,Yarra Valley Pinot Noir,,AUS1038,2021,,,,12.67,6,76,750 ml,,57,0,0,0,0,0,0,14-H2
Warrenton,Well Crafted Wine & Beverage Co.,4453,Wine,Dear Mom,Oregon,Dear Mom,Sparkletown,,ORO1011,,,,,26.63,24,639,187 ml,,119.49,0,0,0,0,0,0,10-H2
Warrenton,Well Crafted Wine & Beverage Co.,15983,Wine,Dear Mom,Oregon,Dear Mom,White (Dented),,ORO1009,NV,Still,White,,0.08,24,2,187 ml,,0.37,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,18244,Wine,Dogwood and Thistle,Californian,Dogwood & Thistle,Carignan,,CAL1230,2021,Still,Red,,58.83,12,706,750 ml,,529.5,0,0,-1,-12,0,0,09-I1 / 10-I3
Warrenton,Well Crafted Wine & Beverage Co.,19986,Wine,Dogwood and Thistle,Californian,Dogwood & Thistle,Cavalier Cuvee Pinot Noir (Private Label),,CAL1300,2021,,,,33.83,12,406,750 ml,,304.5,0,0,0,0,0,0,15-G3
Warrenton,Well Crafted Wine & Beverage Co.,15605,Wine,Dogwood and Thistle,Californian,Dogwood & Thistle,Merlot,,CAL1259,2019,Still,Red,,5,12,60,750 ml,,45,0,0,-1,-12,0,0,22-C1
Warrenton,Well Crafted Wine & Beverage Co.,18243,Wine,Dogwood and Thistle,Californian,Dogwood & Thistle,Pinot Noir,,CAL1229,2021,Still,Red,,31.58,12,379,750 ml,,284.25,0,0,-2.92,-35,0,0,20-F1 / 20-F3
Warrenton,Well Crafted Wine & Beverage Co.,24042,Wine,Dogwood and Thistle,Californian,Dogwood & Thistle,Sauvignon Blanc,,CAL1228,2023,Still,White,,55.67,12,668,750 ml,,501,0,0,-2,-24,0,0,11-H1 / 11-H3
Warrenton,Well Crafted Wine & Beverage Co.,30235,Wine,Dogwood and Thistle,Virginian,Dogwood & Thistle,Shenandoah Cabernet Franc,,VIR1049,2024,Still,Red,,18.83,12,226,750 ml,,169.5,0,0,-1.08,-13,0,0,11-G1
Warrenton,Well Crafted Wine & Beverage Co.,25033,Wine,Dogwood and Thistle,Virginian,Dogwood & Thistle,Shenandoah Riesling,,VIR1048,2023,Still,White,,5.5,12,66,750 ml,,49.5,0,0,-1,-12,0,0,10-D2
Warrenton,Well Crafted Wine & Beverage Co.,21334,Wine,Dogwood and Thistle,Virginian,Dogwood & Thistle,Shenandoah White Blend,,VIR1046,2022,Still,White,,3.08,12,37,750 ml,,27.75,0,0,-1.92,-23,0,0,22-B2
Warrenton,Well Crafted Wine & Beverage Co.,21348,Wine,Ventura Selections,Non Alcoholic,Dolce Vita,Blackberry Daiquiri,,NON1009,,,,,7.33,12,88,750 ml,,66,0,0,0,0,0,0,20-D2
Warrenton,Well Crafted Wine & Beverage Co.,21347,Wine,Ventura Selections,Non Alcoholic,Dolce Vita,Mojito,,NON1008,,,,,1.5,12,18,750 ml,,13.5,0,0,-0.33,-4,0,0,20-D2
Warrenton,Well Crafted Wine & Beverage Co.,27089,Wine,Ventura Selections,Non Alcoholic,Dolce Vita,Spritz,,NON1028,NV,Sparkling,Orange,,8.83,12,106,750 ml,,79.5,0,0,0,0,0,0,20-E2
Warrenton,Well Crafted Wine & Beverage Co.,21346,Wine,Ventura Selections,Non Alcoholic,Dolce Vita,Strawberry Margarita,,NON1007,,,,,1.75,12,21,750 ml,,15.75,0,0,-0.5,-6,0,0,20-D2
Warrenton,Well Crafted Wine & Beverage Co.,24527,Wine,Domaine Benedetti,French,Domaine Benedetti,Biologique Vaucluse,,FRA1144,2020,Still,Red,"Merlot, Syrah, Cinsault",0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,20-E1
Warrenton,Well Crafted Wine & Beverage Co.,25691,Wine,Domaine Benedetti,French,Domaine Benedetti,Biologique Vaucluse,,FRA1144,2022,Still,Red,"Merlot, Syrah, Cinsault",21.08,12,253,750 ml,,189.75,0,0,0,0,0,0,20-C2 / 20-E1
Warrenton,Well Crafted Wine & Beverage Co.,24530,Wine,Domaine Benedetti,French,Domaine Benedetti,Chateauneuf-du-Pape,,FRA1145,2020,Still,Red,"Grenache, Syrah, Mourvèdre, Cinsault",10.08,12,121,750 ml,,90.75,0,0,0,0,0,0,15-H1
Warrenton,Well Crafted Wine & Beverage Co.,24526,Wine,Domaine Benedetti,French,Domaine Benedetti,Cotes du Rhone Vielles Vignes,,FRA1143,2021,Still,Red,"Grenache, Syrah",0.83,12,10,750 ml,,7.5,0,0,0,0,0,0,15-D1
Warrenton,Well Crafted Wine & Beverage Co.,24531,Wine,Domaine Bizet,French,Domaine Bizet,Sancerre Blanc,,FRA1133,2023,Still,White,Sauvignon Blanc,52.58,12,631,750 ml,,473.25,0,0,-2,-24,0,0,14-I1 / 15-I3
Warrenton,Well Crafted Wine & Beverage Co.,24532,Wine,Domaine Bizet,French,Domaine Bizet,Sancerre Rose,,FRA1134,2023,Still,Rose,Pinot Noir,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,20-D2
Warrenton,Well Crafted Wine & Beverage Co.,29448,Wine,Domaine Bizet,French,Domaine Bizet,Sancerre Rose,,FRA1134,2024,Still,Rose,Pinot Noir,40.17,12,482,750 ml,,361.5,0,0,0,0,0,0,14-F1 / 20-C3
Warrenton,Well Crafted Wine & Beverage Co.,24533,Wine,Domaine Bizet,French,Domaine Bizet,Sancerre Rouge,,FRA1135,2022,Still,Red,Pinot Noir,16.92,12,203,750 ml,,152.25,0,0,0,0,0,0,16-H1
Warrenton,Well Crafted Wine & Beverage Co.,25337,Wine,Jeff Welburn Selections,French,,Domaine Borgeot Puligny Montrachet Les Grands Champs,,FRA1082,2022,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,14-C2
Warrenton,Well Crafted Wine & Beverage Co.,27558,Wine,Jeff Welburn Selections,French,,Domaine Borgeot Puligny Montrachet Les Grands Champs,,FRA1082,2023,,,,0.67,12,8,750 ml,,6,0,0,0,0,0,0,15-D2
Warrenton,Well Crafted Wine & Beverage Co.,20177,Wine,Jeff Welburn Selections,French,Domaine Borgeot,Bourgogne Chardonnay,,FRA1091,2021,,,,0.92,12,11,750 ml,,8.25,0,0,0,0,0,0,15-C2
Warrenton,Well Crafted Wine & Beverage Co.,23875,Wine,Jeff Welburn Selections,French,Domaine Borgeot,Bourgogne Chardonnay,,FRA1091,2022,,,,10,12,120,750 ml,,90,0,0,0,0,0,0,14-G2
