Warehouse,Account,Item number,Item type,Supplier,Category,Brand,Name,Batch,SKU,Vintage,Style,Colour,Varieties,Cases,Items per case,Unit quantity,Unit,Barrel or tank,Liters,Unit COGS,COGS,Pending orders (cases),Pending orders (unit quantity),Pending goods received (cases),Pending goods received (unit quantity),Warehouse Location
Storage,Well Crafted Wine & Beverage Co.,24186,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,,RIO1055,2010,,,,1,12,12,750 ml,,9,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20008,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,2036042,RIO1021,2014,,,,34.75,12,417,750 ml,,312.75,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,29290,Wine,Storage- Riojanas,Storage,Monte Real,Gran Reserva,,RIO1086,2018,,,,86.75,12,1041,750 ml,,780.75,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,25899,Wine,Storage- Riojanas,Storage,Monte Real,Reserva de Familia,,RIO1078,2020,Still,Red,,339.33,12,4072,750 ml,,"3,054.00",0,0,0,0,0,0,19-I3 / 18-I / 18-J
Storage,Well Crafted Wine & Beverage Co.,29295,Wine,Storage- Riojanas,Storage,Monte Real,Rosado,,RIO1090,2024,,,,100,6,600,750 ml,,450,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,25543,Wine,Storage- Riojanas,Storage,Monte Real,Tempranillo Reserva Blanco,,RIO1073,2020,,,,2.67,6,16,750 ml,,12,0,0,0,0,0,0,18-H
Storage,Well Crafted Wine & Beverage Co.,19993,Wine,Storage- Riojanas,Storage,Penamonte,C. Privada,747528,RIO1005,2014,,,,14.5,6,87,750 ml,,65.25,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,19992,Wine,Storage- Riojanas,Storage,Penamonte,C. Privada,C120044061,RIO1005,2014,,,,30,6,180,750 ml,,135,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,28518,Wine,Storage- Riojanas,Storage,Veiga,Naúm,,RIO1080,2024,,,,274.42,12,3293,750 ml,,"2,469.75",0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20022,Wine,Storage- Riojanas,Storage,Vina Albina,Blanco Reserva,549514,RIO1038,2001,,,,6,12,72,750 ml,,54,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20024,Wine,Storage- Riojanas,Storage,Vina Albina,Crianza,5001590,RIO1040,2020,,,,10.5,12,126,750 ml,,94.5,0,0,0,0,0,0,19-H
Storage,Well Crafted Wine & Beverage Co.,23360,Wine,Storage- Riojanas,Storage,Vina Albina,Crianza,,RIO1065,2021,,,,35,12,420,750 ml,,315,0,0,0,0,0,0,19-I3
Storage,Well Crafted Wine & Beverage Co.,28520,Wine,Storage- Riojanas,Storage,Vina Albina,Crianza,,RIO1083,2022,,,,95,12,1140,750 ml,,855,0,0,0,0,0,0,19-I3
Storage,Well Crafted Wine & Beverage Co.,24199,Wine,Storage- Riojanas,Storage,Vina Albina,Gran Reserva,,RIO1059,2005,,,,1,12,12,750 ml,,9,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,20026,Wine,Storage- Riojanas,Storage,Vina Albina,Gran Reserva,5001592,RIO1042,2009,,,,11.92,12,143,750 ml,,107.25,0,0,0,0,0,0,18-J / 19-H3
Storage,Well Crafted Wine & Beverage Co.,20027,Wine,Storage- Riojanas,Storage,Vina Albina,Gran Reserva,5001618,RIO1041,2014,,,,27.83,12,334,750 ml,,250.5,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,28519,Wine,Storage- Riojanas,Storage,Vina Albina,Gran Reserva,,RIO1081,2017,,,,0.67,12,8,750 ml,,6,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,24201,Wine,Storage- Riojanas,Storage,Vina Albina,Verdejo,,RIO1056,2023,,,,11.67,12,140,750 ml,,105,0,0,0,0,0,0,19-J1
Storage,Well Crafted Wine & Beverage Co.,20030,Wine,Storage- Riojanas,Storage,Viore GAR,GAR,2025084,RIO1044,2020,,,,10.75,12,129,750 ml,,96.75,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,25542,Wine,Storage- Riojanas,Storage,Viore,Sobre Lias,,RIO1069,2023,,,,22.83,6,137,750 ml,,102.75,0,0,0,0,0,0,
Storage,Well Crafted Wine & Beverage Co.,29294,Wine,Storage- Riojanas,Storage,Viore,Sobre Lias,,RIO1089,2024,,,,30,6,180,750 ml,,135,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,24223,Wine,Wine Smith,Spanish,,17 by Pinea,,SPA1174,2020,,,,50.92,12,611,750 ml,,458.25,0,0,-1.75,-21,0,0,12-C1 / 12-G3
Warrenton,Well Crafted Wine & Beverage Co.,19193,Wine,Abadia de Acon (Supplier),Spanish,,Abadia de Acon Joven,,SPA1072,2021,Still,Red,,-1.08,12,-13,750 ml,,-9.75,0,0,0,0,0,0,12-I
Warrenton,Well Crafted Wine & Beverage Co.,20997,Wine,Abadia de Acon (Supplier),Spanish,,Abadia de Acon Joven,,SPA1072,2022,Still,Red,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,19-A7
Warrenton,Well Crafted Wine & Beverage Co.,24274,Wine,Abadia de Acon (Supplier),Spanish,,Abadia de Acon Joven,,SPA1072,2023,Still,Red,,60.08,12,721,750 ml,,540.75,0,0,0,0,0,0,11-H1 / 11-H3
Warrenton,Well Crafted Wine & Beverage Co.,14900,Wine,Abadia de Acon (Supplier),Spanish,,Abadia de Acon Roble,,SPA1073,2019,,,,6.33,12,76,750 ml,,57,0,0,0,0,0,0,11-E2
Warrenton,Well Crafted Wine & Beverage Co.,29323,Wine,Abadia de Acon (Supplier),Spanish,,Abadia de Acon Roble,,SPA1073,2022,,,,10,12,120,750 ml,,90,0,0,0,0,0,0,11-D3
Warrenton,Well Crafted Wine & Beverage Co.,19187,Wine,Abadia de Acon (Supplier),Spanish,,Abadia de Acon Targum,,SPA1076,2015,,,,3.17,6,19,750 ml,,14.25,0,0,-1,-6,0,0,12-H2
Warrenton,Well Crafted Wine & Beverage Co.,24275,Wine,Abadia de Acon (Supplier),Spanish,Abadia de Acon,Crianza,,SPA1074,2019,,Red,,15.58,12,187,750 ml,,140.25,0,0,0,0,0,0,22-A1
Warrenton,Well Crafted Wine & Beverage Co.,22785,Wine,Abadia de Acon (Supplier),Spanish,Abadia de Acon,Reserva,,SPA1075,2018,,,,13.58,12,163,750 ml,,122.25,0,0,0,0,0,0,22-A2
Warrenton,Well Crafted Wine & Beverage Co.,16982,Wine,Ocean South,Z- Samples,Addiah,Cabernet Sauvignon,,,2017,,,,0.08,12,1,750 ml,,0.75,0,0,0,0,0,0,
Warrenton,Well Crafted Wine & Beverage Co.,23918,Wine,Red Garden Imports,Israel,Adir,Plato Cabernet Sauvignon (MD & DC),,ISR1002,,,,,1,12,12,750 ml,,9,0,0,0,0,0,0,13-J
Warrenton,Well Crafted Wine & Beverage Co.,16474,Wine,Alella Vinicola,Spanish,Alella Marfil,Ivori Blanc,,SPA1138,2020,Still,White,,7.25,12,87,750 ml,,65.25,0,0,0,0,0,0,15-C3
Warrenton,Well Crafted Wine & Beverage Co.,25638,Wine,Alella Vinicola,Spanish,Alella Marfil,Ivori Blanc,,SPA1138,2023,Still,White,,15,12,180,750 ml,,135,0,0,0,0,0,0,15-C3
Warrenton,Well Crafted Wine & Beverage Co.,24050,Wine,Super Marfil,Spanish,Alella Vinicola,Super Marfil,,SPA1302,,,,,50.75,12,609,750 ml,,456.75,0,0,0,0,0,0,12-H1 / 13-H3
Warrenton,Well Crafted Wine & Beverage Co.,3381,Wine,Alella Vinicola,Spanish,Alella,Barbabianco Vermut Blanco,,SPA1175,,,,,6.92,12,83,750 ml,,62.25,0,0,0,0,0,0,12-G1
Warrenton,Well Crafted Wine & Beverage Co.,3382,Wine,Alella Vinicola,Spanish,Alella,Barbarosso Vermut Rojo,,SPA1176,,,,,12,12,144,750 ml,,108,0,0,0,0,0,0,12-G1
Warrenton,Well Crafted Wine & Beverage Co.,15239,Wine,Alella Vinicola,Spanish,Alella,Costa del Maresme Tinto Wine Club Only),,SPA1246,2020,Still,Red,,1.92,12,23,750 ml,,17.25,0,0,0,0,0,0,18-A1
Warrenton,Well Crafted Wine & Beverage Co.,15258,Wine,Alella Vinicola,Spanish,Alella,Ivori Garnatxa Syrah,,SPA1173,2019,Still,Red,,-0.08,12,-1,750 ml,,-0.75,0,0,0,0,0,0,40-C
Warrenton,Well Crafted Wine & Beverage Co.,10327,Wine,Alella Vinicola,Spanish,Alella,Ivori White Magnum,,SPA1215,2016,,,,1,1,1,1500 ml,,1.5,0,0,0,0,0,0,19-A1
Warrenton,Well Crafted Wine & Beverage Co.,8766,Wine,Alella Vinicola,Spanish,Alella,Ivori White Magnum,,SPA1215,2017,,,,5.83,6,35,1500 ml,,52.5,0,0,0,0,0,0,20-E2
Warrenton,Well Crafted Wine & Beverage Co.,21496,Wine,Alella Vinicola,Spanish,Alella,Marfil Classic,,SPA1002,2022,Still,,,11.42,12,137,750 ml,,102.75,0,0,0,0,0,0,12-F2
Warrenton,Well Crafted Wine & Beverage Co.,441,Wine,Alella Vinicola,Spanish,Alella,Marfil Molt Dolc (Solera Dessert),,SPA1004,2003,,,,3.83,12,46,500 ml,,23,0,0,0,0,0,0,22-B2
Warrenton,Well Crafted Wine & Beverage Co.,4339,Wine,Alella Vinicola,Spanish,Alella,Marfil Sec,,SPA1138,2017,Still,White,,0.42,12,5,750 ml,,3.75,0,0,0,0,0,0,19-A7
Warrenton,Well Crafted Wine & Beverage Co.,4621,Wine,Alella Vinicola,Spanish,Alella,Marfil Sec,,SPA1138,2018,Still,White,,0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,19-A7
Warrenton,Well Crafted Wine & Beverage Co.,440,Wine,Alella Vinicola,Spanish,Alella,Marfil Violeta (Solera Dessert),,SPA1003,2003,,,,3.67,12,44,500 ml,,22,0,0,0,0,0,0,12-F1
Warrenton,Well Crafted Wine & Beverage Co.,28732,Wine,Alella Vinicola,Spanish,Alella,Mayla,,SPA1139,2024,Sparkling,Rose,Grenache,49,12,588,750 ml,,441,0,0,-0.17,-2,0,0,11-C1 / 13-E3
Warrenton,Well Crafted Wine & Beverage Co.,20569,Wine,Alella Vinicola,Spanish,Alella,Mayla,,SPA1139,NV,Sparkling,Rose,Grenache,7.83,12,94,750 ml,,70.5,0,0,0,0,0,0,12-I1
Warrenton,Well Crafted Wine & Beverage Co.,17992,Wine,Alfaro,Californian,Alfaro Family Vineyards,A  Estate Chardonnay,,CAL1004,2020,Still,White,,4.25,12,51,750 ml,,38.25,0,0,0,0,0,0,22-D2
Warrenton,Well Crafted Wine & Beverage Co.,20145,Wine,Alfaro,Californian,Alfaro Family Vineyards,A  Estate Chardonnay,,CAL1004,2021,Still,White,,9.67,12,116,750 ml,,87,0,0,0,0,0,0,22-E1
Warrenton,Well Crafted Wine & Beverage Co.,29130,Wine,Alfaro,Californian,Alfaro Family Vineyards,A Estate Pinot Noir,,CAL1006,2024,Still,Red,,21.92,12,263,750 ml,,197.25,0,0,0,0,0,0,22-B1
Warrenton,Well Crafted Wine & Beverage Co.,15617,Wine,Alfaro,Californian,Alfaro Family Vineyards,A Estate Syrah,,CAL1005,2019,Still,Red,,0.17,12,2,750 ml,,1.5,0,0,0,0,0,0,17-A7
Warrenton,Well Crafted Wine & Beverage Co.,20144,Wine,Alfaro,Californian,Alfaro Family Vineyards,A Estate Syrah,,CAL1005,2021,Still,Red,,4.25,12,51,750 ml,,38.25,0,0,0,0,0,0,15-J
Warrenton,Well Crafted Wine & Beverage Co.,30405,Wine,Alfaro,Californian,Alfaro Family Vineyards,A Estate Syrah,,CAL1005,2023,Still,Red,,5,12,60,750 ml,,45,0,0,0,0,0,0,15-J
Warrenton,Well Crafted Wine & Beverage Co.,22734,Wine,Alfaro,Californian,Alfaro Family Vineyards,Dragon Slayer,,CAL1003,2021,,,,33.25,12,399,750 ml,,299.25,0,0,-3.25,-39,0,0,07-A1 / 06-A3
Warrenton,Well Crafted Wine & Beverage Co.,30406,Wine,Alfaro,Californian,Alfaro Family Vineyards,Trout  Gulch Chardonnay,,CAL1128,2023,Still,White,,4,12,48,750 ml,,36,0,0,0,0,0,0,10-J
Warrenton,Well Crafted Wine & Beverage Co.,29131,Wine,Alfaro,Californian,Alfaro Family Vineyards,Trout Gulch Pinot Noir,,CAL1012,2023,Still,Red,,3.83,12,46,750 ml,,34.5,0,0,0,0,0,0,10-D2
Warrenton,Well Crafted Wine & Beverage Co.,24083,Wine,Ventura Selections,Italian,Angoris,Schioppettino,,ITA1139,2020,Still,Red,Schioppettino,2.08,12,25,750 ml,,18.75,0,0,0,0,0,0,15-F2
Warrenton,Well Crafted Wine & Beverage Co.,24084,Wine,Ventura Selections,Italian,Angoris,Villa Locatelli Cabernet Franc,,ITA1140,2022,Still,Red,Cabernet Franc,6.42,12,77,750 ml,,57.75,0,0,0,0,0,0,15-C1
